Label,mean_test_score,rank_test_score,param_criterion,param_max_depth,param_max_features,mean_fit_time
Five,0.41762472406181017,9,gini,,,0.16622047424316405
Five,0.3592847682119205,23,gini,,sqrt,0.036284875869750974
Five,0.3487505518763797,26,gini,,log2,0.03202104568481445
Five,0.4479646799116998,6,gini,5,,0.08197126388549805
Five,0.35785430463576157,24,gini,5,sqrt,0.026808977127075195
Five,0.35401324503311254,25,gini,5,log2,0.0302825927734375
Five,0.45744812362030907,3,gini,10,,0.14653773307800294
Five,0.33932891832229584,27,gini,10,sqrt,0.031124973297119142
Five,0.37522295805739514,18,gini,10,log2,0.025833702087402342
Five,0.4269403973509934,7,entropy,,,0.2046412467956543
Five,0.37792494481236205,16,entropy,,sqrt,0.033122682571411134
Five,0.3938631346578366,12,entropy,,log2,0.028928804397583007
Five,0.46279911699779247,1,entropy,5,,0.1222764492034912
Five,0.3725298013245033,19,entropy,5,sqrt,0.03271183967590332
Five,0.37916997792494483,14,entropy,5,log2,0.03404145240783692
Five,0.45082560706401764,4,entropy,10,,0.20981669425964355
Five,0.4030640176600442,10,entropy,10,sqrt,0.03772611618041992
Five,0.368644591611479,21,entropy,10,log2,0.033274364471435544
Five,0.4269403973509934,7,log_loss,,,0.2602099418640137
Five,0.37792494481236205,16,log_loss,,sqrt,0.05488119125366211
Five,0.3938631346578366,12,log_loss,,log2,0.03983311653137207
Five,0.46279911699779247,1,log_loss,5,,0.13189325332641602
Five,0.3725298013245033,19,log_loss,5,sqrt,0.03574323654174805
Five,0.37916997792494483,14,log_loss,5,log2,0.03748936653137207
Five,0.45082560706401764,4,log_loss,10,,0.16795382499694825
Five,0.4030640176600442,10,log_loss,10,sqrt,0.04134578704833984
Five,0.368644591611479,21,log_loss,10,log2,0.03292102813720703
Three,0.494719646799117,14,gini,,,0.16691970825195312
Three,0.4682119205298013,19,gini,,sqrt,0.031197881698608397
Three,0.4364326710816777,25,gini,,log2,0.027896833419799805
Three,0.5320618101545254,1,gini,5,,0.08498902320861816
Three,0.4868432671081678,15,gini,5,sqrt,0.024483251571655273
Three,0.5186136865342164,2,gini,5,log2,0.030659866333007813
Three,0.5146401766004415,5,gini,10,,0.18448801040649415
Three,0.45479028697571744,24,gini,10,sqrt,0.03434996604919434
Three,0.47081677704194264,18,gini,10,log2,0.02986445426940918
Three,0.4948167770419426,12,entropy,,,0.24389190673828126
Three,0.47747461368653416,16,entropy,,sqrt,0.04304652214050293
Three,0.4549139072847682,22,entropy,,log2,0.05132980346679687
Three,0.5040088300220751,10,entropy,5,,0.10961928367614746
Three,0.5146666666666666,3,entropy,5,sqrt,0.03219561576843262
Three,0.5066931567328918,8,entropy,5,log2,0.02959451675415039
Three,0.5133421633554084,6,entropy,10,,0.19817671775817872
Three,0.4217218543046358,26,entropy,10,sqrt,0.035210037231445314
Three,0.46015894039735106,20,entropy,10,log2,0.03082585334777832
Three,0.4948167770419426,12,log_loss,,,0.21760187149047852
Three,0.47747461368653416,16,log_loss,,sqrt,0.04201178550720215
Three,0.4549139072847682,22,log_loss,,log2,0.03432011604309082
Three,0.5040088300220751,10,log_loss,5,,0.11582427024841309
Three,0.5146666666666666,3,log_loss,5,sqrt,0.03299813270568848
Three,0.5066931567328918,8,log_loss,5,log2,0.030512523651123048
Three,0.5133421633554084,6,log_loss,10,,0.14329380989074708
Three,0.4217218543046358,26,log_loss,10,sqrt,0.03512096405029297
Three,0.46015894039735106,20,log_loss,10,log2,0.032152652740478516
Strict Three,0.6525438596491228,3,gini,,,0.0837059497833252
Strict Three,0.6064473684210527,20,gini,,sqrt,0.02101621627807617
Strict Three,0.6108114035087719,17,gini,,log2,0.022643566131591797
Strict Three,0.6292763157894737,9,gini,5,,0.060977840423583986
Strict Three,0.6191008771929825,12,gini,5,sqrt,0.02141084671020508
Strict Three,0.5899122807017545,21,gini,5,log2,0.02344832420349121
Strict Three,0.6483552631578947,6,gini,10,,0.09648761749267579
Strict Three,0.5878728070175437,22,gini,10,sqrt,0.027812862396240236
Strict Three,0.5774122807017543,23,gini,10,log2,0.026037263870239257
Strict Three,0.6523903508771929,4,entropy,,,0.10190730094909668
Strict Three,0.6191008771929825,12,entropy,,sqrt,0.02701425552368164
Strict Three,0.6190131578947369,15,entropy,,log2,0.02648305892944336
Strict Three,0.6480043859649123,7,entropy,5,,0.06893725395202636
Strict Three,0.6064912280701755,18,entropy,5,sqrt,0.029680633544921876
Strict Three,0.5732894736842106,26,entropy,5,log2,0.02673506736755371
Strict Three,0.6670833333333334,1,entropy,10,,0.10860085487365723
Strict Three,0.6192543859649124,10,entropy,10,sqrt,0.029661273956298827
Strict Three,0.5773245614035087,24,entropy,10,log2,0.02830924987792969
Strict Three,0.6523903508771929,4,log_loss,,,0.10571722984313965
Strict Three,0.6191008771929825,12,log_loss,,sqrt,0.030276060104370117
Strict Three,0.6190131578947369,15,log_loss,,log2,0.027972698211669922
Strict Three,0.6480043859649123,7,log_loss,5,,0.07936339378356934
Strict Three,0.6064912280701755,18,log_loss,5,sqrt,0.029917526245117187
Strict Three,0.5732894736842106,26,log_loss,5,log2,0.024802255630493163
Strict Three,0.6670833333333334,1,log_loss,10,,0.08164372444152831
Strict Three,0.6192543859649124,10,log_loss,10,sqrt,0.025769948959350586
Strict Three,0.5773245614035087,24,log_loss,10,log2,0.028255319595336913
Two,0.5798165137614679,12,gini,,,0.09608855247497558
Two,0.5798165137614679,12,gini,,sqrt,0.02438983917236328
Two,0.6293577981651376,2,gini,,log2,0.023895788192749023
Two,0.5944954128440367,11,gini,5,,0.059380388259887694
Two,0.5229357798165137,27,gini,5,sqrt,0.020960330963134766
Two,0.6311926605504586,1,gini,5,log2,0.022060632705688477
Two,0.5688073394495412,17,gini,10,,0.10191693305969238
Two,0.5743119266055047,16,gini,10,sqrt,0.02619924545288086
Two,0.5596330275229358,22,gini,10,log2,0.024526166915893554
Two,0.565137614678899,20,entropy,,,0.14139084815979003
Two,0.5779816513761468,14,entropy,,sqrt,0.029953813552856444
Two,0.620183486238532,3,entropy,,log2,0.027645206451416014
Two,0.601834862385321,9,entropy,5,,0.07650442123413086
Two,0.5302752293577983,25,entropy,5,sqrt,0.029109954833984375
Two,0.6165137614678899,5,entropy,5,log2,0.029355859756469725
Two,0.6036697247706423,7,entropy,10,,0.11511831283569336
Two,0.5669724770642202,18,entropy,10,sqrt,0.028789234161376954
Two,0.5431192660550458,23,entropy,10,log2,0.027825021743774415
Two,0.565137614678899,20,log_loss,,,0.14074273109436036
Two,0.5779816513761468,14,log_loss,,sqrt,0.036306333541870114
Two,0.620183486238532,3,log_loss,,log2,0.030420541763305664
Two,0.601834862385321,9,log_loss,5,,0.08448753356933594
Two,0.5302752293577983,25,log_loss,5,sqrt,0.028008270263671874
Two,0.6165137614678899,5,log_loss,5,log2,0.025327301025390624
Two,0.6036697247706423,7,log_loss,10,,0.09746546745300293
Two,0.5669724770642202,18,log_loss,10,sqrt,0.028760910034179688
Two,0.5431192660550458,23,log_loss,10,log2,0.028318214416503906
Strict Two,0.7801537386443046,4,gini,,,0.037154865264892575
Strict Two,0.6649895178197065,24,gini,,sqrt,0.016575145721435546
Strict Two,0.653948287910552,25,gini,,log2,0.020110464096069335
Strict Two,0.7684835779175402,8,gini,5,,0.02976384162902832
Strict Two,0.6352201257861635,27,gini,5,sqrt,0.014971065521240234
Strict Two,0.7839273235499651,3,gini,5,log2,0.014970064163208008
Strict Two,0.7690426275331935,7,gini,10,,0.03885684013366699
Strict Two,0.6535988819007688,26,gini,10,sqrt,0.017337894439697264
Strict Two,0.738993710691824,17,gini,10,log2,0.01788816452026367
Strict Two,0.7576519916142558,9,entropy,,,0.04488229751586914
Strict Two,0.7546470999301187,15,entropy,,sqrt,0.01859626770019531
Strict Two,0.6947589098532494,22,entropy,,log2,0.019352054595947264
Strict Two,0.7872816212438855,1,entropy,5,,0.0468597412109375
Strict Two,0.7092941998602377,20,entropy,5,sqrt,0.022998046875
Strict Two,0.7729559748427672,5,entropy,5,log2,0.021193218231201173
Strict Two,0.7576519916142558,9,entropy,10,,0.052829647064208986
Strict Two,0.7248777078965758,18,entropy,10,sqrt,0.02195134162902832
Strict Two,0.7576519916142558,9,entropy,10,log2,0.02271108627319336
Strict Two,0.7576519916142558,9,log_loss,,,0.053970718383789064
Strict Two,0.7546470999301187,15,log_loss,,sqrt,0.024215078353881835
Strict Two,0.6947589098532494,22,log_loss,,log2,0.025035572052001954
Strict Two,0.7872816212438855,1,log_loss,5,,0.049877262115478514
Strict Two,0.7092941998602377,20,log_loss,5,sqrt,0.02431516647338867
Strict Two,0.7729559748427672,5,log_loss,5,log2,0.022789955139160156
Strict Two,0.7576519916142558,9,log_loss,10,,0.05498294830322266
Strict Two,0.7248777078965758,18,log_loss,10,sqrt,0.02368154525756836
Strict Two,0.7576519916142558,9,log_loss,10,log2,0.025932836532592773
