feature,importance,absolute_importance
amazon,-0.014814814814814791,0.014814814814814791
ability,0.0,0.0
plan,0.0,0.0
planning,0.0,0.0
platform,0.0,0.0
play,0.0,0.0
player,0.0,0.0
plus,0.0,0.0
pm,0.0,0.0
point,0.0,0.0
police,0.0,0.0
policy,0.0,0.0
political,0.0,0.0
politics,0.0,0.0
popular,0.0,0.0
portfolio,0.0,0.0
position,0.0,0.0
positive,0.0,0.0
possible,0.0,0.0
post,0.0,0.0
potential,0.0,0.0
potentially,0.0,0.0
power,0.0,0.0
practice,0.0,0.0
pre,0.0,0.0
presidency,0.0,0.0
president,0.0,0.0
presidential,0.0,0.0
place,0.0,0.0
pick,0.0,0.0
photo,0.0,0.0
phone,0.0,0.0
outside,0.0,0.0
overall,0.0,0.0
page,0.0,0.0
paid,0.0,0.0
palestinian,0.0,0.0
pandemic,0.0,0.0
parent,0.0,0.0
particularly,0.0,0.0
partner,0.0,0.0
party,0.0,0.0
pas,0.0,0.0
passed,0.0,0.0
past,0.0,0.0
press,0.0,0.0
path,0.0,0.0
pause,0.0,0.0
pay,0.0,0.0
paye,0.0,0.0
paying,0.0,0.0
payment,0.0,0.0
people,0.0,0.0
percent,0.0,0.0
percentage,0.0,0.0
performance,0.0,0.0
period,0.0,0.0
person,0.0,0.0
personal,0.0,0.0
philadelphia,0.0,0.0
patient,0.0,0.0
pressure,0.0,0.0
prevent,0.0,0.0
previous,0.0,0.0
purchase,0.0,0.0
pursue,0.0,0.0
push,0.0,0.0
qualify,0.0,0.0
qualifying,0.0,0.0
quality,0.0,0.0
quarter,0.0,0.0
question,0.0,0.0
quickly,0.0,0.0
raise,0.0,0.0
range,0.0,0.0
rate,0.0,0.0
ratio,0.0,0.0
reach,0.0,0.0
read,0.0,0.0
ready,0.0,0.0
real,0.0,0.0
really,0.0,0.0
reason,0.0,0.0
receive,0.0,0.0
received,0.0,0.0
recent,0.0,0.0
recently,0.0,0.0
record,0.0,0.0
red,0.0,0.0
reduce,0.0,0.0
reduction,0.0,0.0
public,0.0,0.0
orleans,0.0,0.0
pslf,0.0,0.0
provides,0.0,0.0
previously,0.0,0.0
price,0.0,0.0
princeton,0.0,0.0
priority,0.0,0.0
private,0.0,0.0
pro,0.0,0.0
probably,0.0,0.0
problem,0.0,0.0
process,0.0,0.0
processing,0.0,0.0
product,0.0,0.0
production,0.0,0.0
professional,0.0,0.0
professor,0.0,0.0
profit,0.0,0.0
program,0.0,0.0
progress,0.0,0.0
project,0.0,0.0
promise,0.0,0.0
promised,0.0,0.0
property,0.0,0.0
proposal,0.0,0.0
proposed,0.0,0.0
protect,0.0,0.0
protection,0.0,0.0
provide,0.0,0.0
provided,0.0,0.0
providing,0.0,0.0
organization,0.0,0.0
order,0.0,0.0
option,0.0,0.0
loss,0.0,0.0
lost,0.0,0.0
lot,0.0,0.0
