feature,importance,absolute_importance
plus,-0.012345679012345734,0.012345679012345734
decade,-0.012345679012345734,0.012345679012345734
went,-0.012345679012345734,0.012345679012345734
age,-0.012345679012345734,0.012345679012345734
people,-0.012345679012345734,0.012345679012345734
hospital,-0.012345679012345734,0.012345679012345734
problem,-0.012345679012345734,0.012345679012345734
woman,-0.012345679012345734,0.012345679012345734
growing,-0.012345679012345734,0.012345679012345734
health,-0.012345679012345734,0.012345679012345734
institute,-0.012345679012345734,0.012345679012345734
really,-0.012345679012345734,0.012345679012345734
patient,-0.012345679012345734,0.012345679012345734
particularly,-0.012345679012345734,0.012345679012345734
expert,-0.012345679012345734,0.012345679012345734
job,-0.012345679012345734,0.012345679012345734
sale,-0.012345679012345734,0.012345679012345734
young,-0.012345679012345734,0.012345679012345734
culture,-0.012345679012345734,0.012345679012345734
started,-0.012345679012345734,0.012345679012345734
maybe,-0.012345679012345734,0.012345679012345734
turn,-0.012345679012345734,0.012345679012345734
lot,-0.012345679012345734,0.012345679012345734
men,-0.012345679012345734,0.012345679012345734
low,-0.012345679012345734,0.012345679012345734
cause,-0.012345679012345734,0.012345679012345734
look,-0.012345679012345734,0.012345679012345734
charge,-0.012345679012345711,0.012345679012345711
soon,-0.009876543209876586,0.009876543209876586
donald,-0.009876543209876586,0.009876543209876586
think,-0.009876543209876586,0.009876543209876586
time,-0.009876543209876586,0.009876543209876586
far,-0.009876543209876586,0.009876543209876586
saying,-0.009876543209876586,0.009876543209876586
thing,-0.009876543209876586,0.009876543209876586
early,-0.009876543209876586,0.009876543209876586
home,-0.009876543209876586,0.009876543209876586
way,-0.009876543209876586,0.009876543209876586
later,-0.009876543209876586,0.009876543209876586
lead,-0.009876543209876586,0.009876543209876586
life,-0.009876543209876586,0.009876543209876586
need,-0.009876543209876586,0.009876543209876586
like,-0.009876543209876586,0.009876543209876586
bad,-0.009876543209876586,0.009876543209876586
just,-0.007407407407407441,0.007407407407407441
january,-0.007407407407407441,0.007407407407407441
statement,-0.007407407407407441,0.007407407407407441
week,-0.007407407407407441,0.007407407407407441
america,-0.007407407407407441,0.007407407407407441
led,-0.007407407407407441,0.007407407407407441
year,-0.007407407407407441,0.007407407407407441
city,-0.004938271604938316,0.004938271604938316
office,-0.004938271604938316,0.004938271604938316
team,-0.004938271604938316,0.004938271604938316
defense,-0.004938271604938316,0.004938271604938316
today,-0.004938271604938293,0.004938271604938293
failed,-0.004938271604938293,0.004938271604938293
professional,-0.004938271604938293,0.004938271604938293
ability,-0.004938271604938293,0.004938271604938293
branch,-0.004938271604938293,0.004938271604938293
released,-0.004938271604938293,0.004938271604938293
effort,-0.004938271604938293,0.004938271604938293
efficiency,-0.004938271604938293,0.004938271604938293
despite,-0.004938271604938293,0.004938271604938293
campaign,-0.004938271604938293,0.004938271604938293
support,-0.004938271604938293,0.004938271604938293
said,-0.004938271604938293,0.004938271604938293
sent,-0.004938271604938293,0.004938271604938293
era,-0.004938271604938293,0.004938271604938293
disaster,-0.004938271604938293,0.004938271604938293
spending,-0.004938271604938293,0.004938271604938293
military,-0.004938271604938293,0.004938271604938293
