Label,mean_test_score,rank_test_score,param_C,param_degree,param_kernel,mean_fit_time
Five,0.48935099337748345,10,0.5,2,linear,3.0089181423187257
Five,0.31680353200883005,44,0.5,2,poly,4.209409713745117
Five,0.4123090507726269,34,0.5,2,rbf,8.811856937408447
Five,0.48935099337748345,10,0.5,3,linear,3.5729462146759032
Five,0.2704724061810154,53,0.5,3,poly,4.376037073135376
Five,0.4123090507726269,34,0.5,3,rbf,5.195280981063843
Five,0.48935099337748345,10,0.5,4,linear,2.927545404434204
Five,0.2838057395143488,48,0.5,4,poly,3.3457149982452394
Five,0.4123090507726269,34,0.5,4,rbf,5.737133598327636
Five,0.48935099337748345,10,1.0,2,linear,3.327910327911377
Five,0.3287240618101545,41,1.0,2,poly,4.204894256591797
Five,0.45075496688741723,31,1.0,2,rbf,5.005044603347779
Five,0.48935099337748345,10,1.0,3,linear,3.3377352714538575
Five,0.28237527593818984,49,1.0,3,poly,3.5686551094055177
Five,0.45075496688741723,31,1.0,3,rbf,5.233162212371826
Five,0.48935099337748345,10,1.0,4,linear,3.201116704940796
Five,0.2691302428256071,54,1.0,4,poly,3.664439058303833
Five,0.45075496688741723,31,1.0,4,rbf,5.599283838272095
Five,0.48935099337748345,10,1.5,2,linear,2.5302425384521485
Five,0.3472671081677704,40,1.5,2,poly,4.393991184234619
Five,0.47727152317880794,28,1.5,2,rbf,4.85905442237854
Five,0.48935099337748345,10,1.5,3,linear,2.434176731109619
Five,0.28501545253863136,47,1.5,3,poly,4.456331014633179
Five,0.47727152317880794,28,1.5,3,rbf,5.9140636920928955
Five,0.48935099337748345,10,1.5,4,linear,3.310675573348999
Five,0.27839293598233994,51,1.5,4,poly,3.711601400375366
Five,0.47727152317880794,28,1.5,4,rbf,5.0515974998474125
Five,0.48935099337748345,10,2.0,2,linear,3.050845241546631
Five,0.36185430463576157,39,2.0,2,poly,3.8774303436279296
Five,0.495841059602649,7,2.0,2,rbf,5.300993585586548
Five,0.48935099337748345,10,2.0,3,linear,2.9616496562957764
Five,0.3088565121412804,45,2.0,3,poly,3.9469761848449707
Five,0.495841059602649,7,2.0,3,rbf,5.383933639526367
Five,0.48935099337748345,10,2.0,4,linear,3.2464669227600096
Five,0.27309492273730684,52,2.0,4,poly,4.583647155761719
Five,0.495841059602649,7,2.0,4,rbf,4.464894437789917
Five,0.48935099337748345,10,2.5,2,linear,3.318996238708496
Five,0.3738101545253863,38,2.5,2,poly,4.023376750946045
Five,0.5064547461368654,4,2.5,2,rbf,5.745815753936768
Five,0.48935099337748345,10,2.5,3,linear,3.2684865951538087
Five,0.32607505518763796,42,2.5,3,poly,3.825184869766235
Five,0.5064547461368654,4,2.5,3,rbf,6.2588990211486815
Five,0.48935099337748345,10,2.5,4,linear,3.180633068084717
Five,0.28104194260485654,50,2.5,4,poly,4.393151569366455
Five,0.5064547461368654,4,2.5,4,rbf,4.877955484390259
Five,0.48935099337748345,10,3.0,2,linear,3.0985429286956787
Five,0.40696688741721854,37,3.0,2,poly,3.8865989208221436
Five,0.5104370860927152,1,3.0,2,rbf,5.312650060653686
Five,0.48935099337748345,10,3.0,3,linear,3.2104689121246337
Five,0.3194525386313466,43,3.0,3,poly,4.187211370468139
Five,0.5104370860927152,1,3.0,3,rbf,5.067401647567749
Five,0.48935099337748345,10,3.0,4,linear,3.1515527248382567
Five,0.2916379690949228,46,3.0,4,poly,4.234954595565796
Five,0.5104370860927152,1,3.0,4,rbf,3.224150037765503
Three,0.493430463576159,9,0.5,2,linear,5.909815883636474
Three,0.4733156732891833,36,0.5,2,poly,8.086724996566772
Three,0.44158940397350993,47,0.5,2,rbf,11.089125728607177
Three,0.493430463576159,9,0.5,3,linear,5.352903270721436
Three,0.4441766004415011,46,0.5,3,poly,7.098981142044067
Three,0.44158940397350993,47,0.5,3,rbf,8.989636659622192
Three,0.493430463576159,9,0.5,4,linear,6.187200736999512
Three,0.43225607064017657,54,0.5,4,poly,8.055305480957031
Three,0.44158940397350993,47,0.5,4,rbf,8.941965579986572
Three,0.48150110375275934,17,1.0,2,linear,4.720465612411499
Three,0.477298013245033,32,1.0,2,poly,7.228325366973877
Three,0.46412362030905074,37,1.0,2,rbf,8.601256227493286
Three,0.48150110375275934,17,1.0,3,linear,5.463680839538574
Three,0.4481501103752759,44,1.0,3,poly,7.5381848335266115
Three,0.46412362030905074,37,1.0,3,rbf,7.5805271625518795
Three,0.48150110375275934,17,1.0,4,linear,5.890005207061767
Three,0.4348962472406181,53,1.0,4,poly,7.441705513000488
Three,0.46412362030905074,37,1.0,4,rbf,8.914688158035279
Three,0.48150110375275934,17,1.5,2,linear,6.697259759902954
Three,0.48392935982339963,16,1.5,2,poly,7.202930498123169
Three,0.47474613686534217,33,1.5,2,rbf,8.08567018508911
Three,0.48150110375275934,17,1.5,3,linear,5.716162538528442
Three,0.4521236203090508,43,1.5,3,poly,7.052483224868775
Three,0.47474613686534217,33,1.5,3,rbf,8.198300552368163
Three,0.48150110375275934,17,1.5,4,linear,5.461920833587646
Three,0.4362207505518764,52,1.5,4,poly,8.50651512145996
Three,0.47474613686534217,33,1.5,4,rbf,8.276089429855347
Three,0.48150110375275934,17,2.0,2,linear,5.242230081558228
Three,0.48527152317880795,15,2.0,2,poly,6.510048580169678
Three,0.4853774834437086,12,2.0,2,rbf,10.150130081176759
Three,0.48150110375275934,17,2.0,3,linear,5.627574014663696
Three,0.46007947019867546,42,2.0,3,poly,6.976767826080322
Three,0.4853774834437086,12,2.0,3,rbf,7.200608491897583
Three,0.48150110375275934,17,2.0,4,linear,4.984951066970825
Three,0.43887858719646805,51,2.0,4,poly,7.844759225845337
Three,0.4853774834437086,12,2.0,4,rbf,10.371963548660279
Three,0.48150110375275934,17,2.5,2,linear,5.27952299118042
Three,0.49456953642384105,8,2.5,2,poly,6.63550386428833
Three,0.49866666666666665,4,2.5,2,rbf,8.68509316444397
Three,0.48150110375275934,17,2.5,3,linear,4.511554145812989
Three,0.462728476821192,41,2.5,3,poly,7.210617399215698
Three,0.49866666666666665,4,2.5,3,rbf,9.681371927261353
Three,0.48150110375275934,17,2.5,4,linear,5.698149633407593
Three,0.44020309050772627,50,2.5,4,poly,7.9256641387939455
Three,0.49866666666666665,4,2.5,4,rbf,8.326741313934326
Three,0.48150110375275934,17,3.0,2,linear,5.537539863586426
Three,0.49721854304635754,7,3.0,2,poly,7.114456987380981
Three,0.5132980132450331,1,3.0,2,rbf,9.559040451049805
Three,0.48150110375275934,17,3.0,3,linear,5.875701093673706
Three,0.46405298013245033,40,3.0,3,poly,8.29041485786438
Three,0.5132980132450331,1,3.0,3,rbf,9.379327154159546
Three,0.48150110375275934,17,3.0,4,linear,5.850291967391968
Three,0.4468344370860927,45,3.0,4,poly,6.623901414871216
Three,0.5132980132450331,1,3.0,4,rbf,4.657065343856812
Strict Three,0.6902412280701754,16,0.5,2,linear,1.08961820602417
Strict Three,0.44947368421052625,46,0.5,2,poly,1.8013905525207519
Strict Three,0.6293421052631578,34,0.5,2,rbf,2.2002989768981935
