feature,importance,absolute_importance
cfpb,-0.00694444444444442,0.00694444444444442
consumer,-0.00694444444444442,0.00694444444444442
acting,-0.00694444444444442,0.00694444444444442
control,-0.00694444444444442,0.00694444444444442
vought,-0.005555555555555536,0.005555555555555536
court,-0.005555555555555536,0.005555555555555536
congress,-0.005555555555555536,0.005555555555555536
digital,-0.004166666666666652,0.004166666666666652
black,-0.002777777777777768,0.002777777777777768
agency,-0.002777777777777768,0.002777777777777768
election,-0.001388888888888884,0.001388888888888884
performance,-0.001388888888888884,0.001388888888888884
daily,-0.001388888888888884,0.001388888888888884
host,-0.001388888888888884,0.001388888888888884
article,-0.001388888888888884,0.001388888888888884
reporter,-0.001388888888888884,0.001388888888888884
treasury,-0.001388888888888884,0.001388888888888884
sign,-0.001388888888888884,0.001388888888888884
going,-0.001388888888888884,0.001388888888888884
democrat,-0.001388888888888884,0.001388888888888884
supreme,-0.001388888888888884,0.001388888888888884
wing,-0.001388888888888884,0.001388888888888884
york,-0.001388888888888884,0.001388888888888884
financial,-0.0013888888888888618,0.0013888888888888618
tax,-0.0013888888888888618,0.0013888888888888618
place,0.0,0.0
officer,0.0,0.0
pause,0.0,0.0
offering,0.0,0.0
offered,0.0,0.0
offer,0.0,0.0
paye,0.0,0.0
paying,0.0,0.0
percentage,0.0,0.0
obligation,0.0,0.0
person,0.0,0.0
patient,0.0,0.0
play,0.0,0.0
number,0.0,0.0
phone,0.0,0.0
photo,0.0,0.0
platform,0.0,0.0
pick,0.0,0.0
planning,0.0,0.0
personal,0.0,0.0
open,0.0,0.0
passed,0.0,0.0
opportunity,0.0,0.0
order,0.0,0.0
online,0.0,0.0
organization,0.0,0.0
orleans,0.0,0.0
outside,0.0,0.0
overall,0.0,0.0
page,0.0,0.0
ongoing,0.0,0.0
paid,0.0,0.0
palestinian,0.0,0.0
pandemic,0.0,0.0
player,0.0,0.0
parent,0.0,0.0
omb,0.0,0.0
particularly,0.0,0.0
partner,0.0,0.0
party,0.0,0.0
old,0.0,0.0
pas,0.0,0.0
oil,0.0,0.0
operation,0.0,0.0
path,0.0,0.0
politics,0.0,0.0
pm,0.0,0.0
processing,0.0,0.0
product,0.0,0.0
production,0.0,0.0
professional,0.0,0.0
professor,0.0,0.0
profit,0.0,0.0
progress,0.0,0.0
project,0.0,0.0
promise,0.0,0.0
promised,0.0,0.0
property,0.0,0.0
process,0.0,0.0
proposal,0.0,0.0
protect,0.0,0.0
protection,0.0,0.0
provide,0.0,0.0
provided,0.0,0.0
provides,0.0,0.0
providing,0.0,0.0
pslf,0.0,0.0
pursue,0.0,0.0
push,0.0,0.0
qualify,0.0,0.0
qualifying,0.0,0.0
proposed,0.0,0.0
plus,0.0,0.0
problem,0.0,0.0
pro,0.0,0.0
point,0.0,0.0
police,0.0,0.0
policy,0.0,0.0
political,0.0,0.0
nse,0.0,0.0
popular,0.0,0.0
portfolio,0.0,0.0
position,0.0,0.0
positive,0.0,0.0
possible,0.0,0.0
post,0.0,0.0
probably,0.0,0.0
potential,0.0,0.0
practice,0.0,0.0
pre,0.0,0.0
presidency,0.0,0.0
presidential,0.0,0.0
press,0.0,0.0
pressure,0.0,0.0
previous,0.0,0.0
previously,0.0,0.0
princeton,0.0,0.0
priority,0.0,0.0
private,0.0,0.0
potentially,0.0,0.0
november,0.0,0.0
ability,0.0,0.0
note,0.0,0.0
learning,0.0,0.0
leave,0.0,0.0
led,0.0,0.0
left,0.0,0.0
legal,0.0,0.0
legislation,0.0,0.0
lender,0.0,0.0
let,0.0,0.0
letter,0.0,0.0
level,0.0,0.0
like,0.0,0.0
league,0.0,0.0
likely,0.0,0.0
limited,0.0,0.0
line,0.0,0.0
list,0.0,0.0
little,0.0,0.0
live,0.0,0.0
location,0.0,0.0
