source,author,Bias Specific,Bias Numeric,date,search,able,acceptance,according,account,act,action,administration,agency,aid,american,application,apply,available,average,balance,based,benefit,best,biden,billion,borrower,budget,business,buy,buyback,card,case,certain,challenge,change,check,college,come,congress,consumer,cost,court,credit,current,cut,data,day,debt,department,different,doe,don,driven,earnings,education,eligible,employment,end,enrolled,enrollment,example,executive,expense,expert,faculty,federal,financial,forbearance,forgiven,forgiveness,free,freeze,fund,funding,future,goal,good,gov,government,graduation,grant,ha,health,help,high,higher,hold,home,house,icr,idr,impact,important,including,income,increase,individual,information,initiative,just,kantrowitz,know,law,le,legal,like,likely,ll,loan,location,long,look,low,lower,make,making,market,mean,median,medical,memo,million,money,month,monthly,mortgage,need,new,number,offer,office,official,opportunity,option,order,pause,pay,paye,paying,payment,people,period,personal,plan,policy,power,president,process,processing,program,provide,pslf,public,qualify,qualifying,rate,ratio,read,receive,recent,relief,repayment,report,republican,research,review,right,rubin,rule,said,save,saving,say,school,score,security,service,servicer,set,social,spending,start,state,step,student,studentaid,sure,tax,term,time,total,transfer,trump,undergraduate,university,use,ve,wa,want,washington,way,week,white,work,year
CNET,Dashia Milden,Center,0.0,2025-01-13T19:26:22Z,student_loan_forgiveness,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,1,2,6,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,1,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1
CNET,Elaine Rubin,Center,0.0,2024-12-23T23:30:03Z,student_loan_forgiveness,1,0,0,3,0,2,3,0,2,0,0,3,3,0,4,1,1,0,2,1,8,2,0,3,4,0,1,1,3,0,3,1,0,0,0,1,1,0,1,0,0,1,5,2,0,0,1,3,0,3,3,0,2,3,1,1,0,0,1,0,3,0,5,1,16,0,0,0,0,1,0,1,1,0,1,0,3,0,1,0,0,2,0,1,0,1,0,2,0,5,0,0,0,0,0,0,4,0,1,3,2,2,3,31,0,1,0,0,0,3,0,0,1,0,0,0,2,0,5,4,0,2,1,1,1,0,0,1,3,0,2,6,0,0,17,0,3,0,14,0,0,0,0,0,9,0,7,3,2,4,1,0,4,1,1,3,14,0,0,0,1,0,0,1,1,6,2,2,2,0,0,3,1,1,0,0,2,1,1,17,1,2,2,0,2,4,0,0,0,0,1,3,1,1,0,3,0,1,1,5
CNET,Elaine Rubin,Center,0.0,2025-01-14T19:00:07Z,student_loan_forgiveness,1,0,0,3,0,2,3,0,2,0,0,3,3,0,4,1,1,0,2,1,8,2,0,3,4,0,1,1,3,0,3,1,0,0,0,1,1,0,1,0,0,1,5,2,0,0,1,3,0,3,3,0,2,3,1,1,0,0,1,0,3,0,5,1,16,0,0,0,0,1,0,1,1,0,1,0,3,0,1,0,0,2,0,1,0,1,0,2,0,5,0,0,0,0,0,0,4,0,1,3,2,2,3,31,0,1,0,0,0,3,0,0,1,0,0,0,2,0,5,4,0,2,1,1,1,0,0,1,3,0,2,6,0,0,17,0,3,0,14,0,0,0,0,0,9,0,7,3,2,4,1,0,4,1,1,3,14,0,0,0,1,0,0,1,1,6,2,2,2,0,0,3,1,1,0,0,2,1,1,17,1,2,2,0,2,4,0,0,0,0,1,3,1,1,0,3,0,1,1,5
CNET,Mike De Socio,Center,0.0,2025-01-11T14:00:08Z,student_loan_forgiveness,0,0,0,0,0,0,1,0,0,0,7,3,1,0,3,0,0,0,0,0,7,0,0,3,19,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,3,5,0,0,1,0,2,0,1,9,0,0,2,0,2,0,0,0,0,0,0,3,1,5,0,0,0,0,0,1,0,2,2,0,0,3,0,2,0,0,1,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,2,11,0,1,0,1,0,4,0,0,1,0,0,0,0,0,7,4,0,4,2,1,1,0,0,1,1,1,1,4,0,0,16,0,0,0,3,0,0,0,1,0,14,0,17,3,1,3,0,0,1,2,0,4,2,0,0,0,0,0,6,0,5,3,1,0,0,0,0,3,2,0,0,0,1,0,1,3,2,1,0,1,2,2,0,0,0,0,1,2,1,0,0,0,0,2,0,7
Forbes,Adam S. Minsky,Center,-0.5,2024-12-23T15:52:01Z,student_loan_forgiveness,0,0,0,0,1,2,22,0,0,0,1,0,0,0,2,4,0,0,15,0,19,1,0,0,0,0,0,1,3,2,0,0,1,1,0,0,4,0,1,0,0,0,6,3,0,0,0,1,0,4,0,0,1,0,0,1,1,0,0,0,2,1,0,0,24,0,0,0,0,3,0,0,0,1,0,0,4,0,0,0,1,0,0,3,1,2,1,0,2,2,0,0,0,5,0,0,1,0,0,6,0,3,0,29,0,0,0,2,0,0,0,0,1,0,0,0,2,0,3,0,0,0,6,1,0,3,6,0,1,0,0,0,1,0,0,2,0,1,19,0,0,1,1,0,7,0,3,1,1,0,0,0,0,1,0,8,1,0,2,0,1,0,0,2,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,24,0,0,0,0,1,0,0,9,0,0,0,0,2,1,1,1,1,2,0,6
Forbes,Adam S. Minsky,Center,-0.5,2024-12-19T16:06:30Z,student_loan_forgiveness,0,0,2,1,0,0,4,0,0,0,13,2,3,0,1,3,2,1,4,0,29,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,1,1,1,0,1,3,15,3,0,0,2,0,6,1,0,0,0,2,0,0,0,0,0,1,1,2,0,12,0,0,0,0,1,0,0,2,0,0,0,8,0,0,1,0,0,0,1,15,17,0,0,0,12,0,2,1,1,1,0,1,1,0,1,1,1,0,17,0,0,0,3,3,2,1,0,0,0,0,0,1,0,2,3,0,2,4,0,2,0,1,0,5,2,0,1,15,0,15,0,0,0,26,0,0,0,4,8,2,2,5,3,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,2,9,0,2,0,0,0,2,2,1,0,0,1,0,1,10,2,0,1,8,6,0,0,0,0,0,1,0,2,0,1,0,1,1,1,6
Forbes,Adam S. Minsky,Center,-0.5,2025-01-02T15:19:54Z,student_loan_forgiveness,0,0,2,0,1,1,13,0,0,0,1,0,0,0,2,3,0,0,11,0,22,2,0,0,0,0,0,1,3,0,0,0,0,1,0,0,4,0,1,1,1,0,3,6,1,0,0,1,0,5,0,0,1,0,0,0,1,0,0,0,5,0,1,0,22,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,4,2,4,0,0,1,2,1,0,0,3,0,0,2,0,0,4,1,1,1,27,0,1,2,1,0,2,0,0,1,0,1,0,5,0,2,1,0,0,0,0,0,3,0,0,3,2,0,1,2,0,2,3,0,0,17,0,0,2,1,0,16,0,9,2,0,0,0,0,0,2,1,1,4,0,5,0,0,0,0,3,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,26,1,0,1,1,1,1,0,6,0,0,0,0,3,0,2,1,0,2,2,6
Forbes,Adam S. Minsky,Center,-0.5,2025-01-08T14:47:16Z,student_loan_forgiveness,2,0,0,3,0,1,4,0,1,0,0,0,3,0,1,2,1,1,6,0,28,0,0,0,0,0,1,2,2,1,0,0,1,0,0,1,1,4,1,0,0,0,4,6,2,0,1,1,0,5,0,0,0,1,0,0,0,0,0,0,9,1,4,0,20,0,0,0,0,0,0,3,1,2,0,0,4,0,1,0,0,0,0,2,1,20,0,1,1,5,0,0,3,5,2,0,0,0,1,2,1,3,1,35,0,0,3,1,2,3,1,0,1,0,0,0,4,0,4,4,0,0,1,0,0,0,0,0,4,1,0,2,1,0,8,2,1,1,29,0,1,4,1,2,7,2,7,2,2,0,0,0,0,3,0,1,11,0,0,0,0,1,0,2,0,8,0,0,0,0,1,2,3,1,1,0,3,1,3,21,1,1,6,2,8,2,0,5,0,0,1,0,2,3,0,0,1,2,0,5
Forbes,Adam S. Minsky,Center,-0.5,2024-12-31T15:17:08Z,student_loan_forgiveness,0,0,1,0,0,0,8,1,0,0,3,3,0,0,0,1,3,0,7,1,22,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,1,0,1,0,3,1,2,12,0,1,0,1,0,6,1,0,0,0,0,0,0,0,0,0,9,0,2,0,13,0,0,0,0,0,1,0,5,1,0,2,7,0,1,0,0,0,0,0,0,1,0,0,1,2,0,1,0,2,1,0,3,0,0,0,0,1,2,24,0,4,0,0,1,3,3,0,0,0,6,0,1,0,4,0,0,1,0,2,0,0,0,0,1,0,5,0,0,0,3,1,0,0,3,0,0,1,0,8,18,1,6,1,6,1,0,0,0,4,0,5,1,0,0,0,0,0,0,0,0,1,0,3,0,0,3,2,2,0,3,0,0,0,0,23,5,0,0,0,3,2,0,1,0,0,0,0,1,1,0,0,0,0,1,3
Forbes,Adam S. Minsky,Center,-0.5,2024-12-18T17:05:13Z,student_loan_forgiveness,0,0,1,0,1,0,9,0,0,0,2,1,1,0,0,2,0,0,10,3,22,0,0,0,0,0,2,0,7,3,0,0,0,6,0,0,6,0,0,0,1,0,2,12,0,1,0,1,0,10,0,0,0,2,0,0,0,0,0,0,5,0,2,1,25,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,3,0,0,0,3,0,0,0,3,1,0,0,1,0,6,2,3,0,30,0,0,0,1,2,1,0,0,0,0,1,0,2,0,1,1,0,0,2,0,0,0,0,0,1,0,0,1,4,0,4,0,1,0,22,0,0,1,0,2,17,1,9,1,2,1,0,0,0,2,1,4,8,0,2,0,0,1,0,2,1,13,0,1,2,0,0,1,0,0,0,0,0,1,0,20,0,0,0,0,1,1,0,1,0,0,0,0,4,0,0,0,0,0,0,10
