,source,author,Bias Specific,Bias Numeric,date,search,able,abolition,act,administration,agency,aggregated,america,american,assistance,athlete,biden,big,billion,billionaire,budget,business,california,car,care,case,change,child,civil,class,clear,come,company,congress,control,country,court,cut,day,debt,democracy,democrat,democratic,department,did,district,doe,doesn,doing,dollar,don,donald,economic,education,effect,effort,election,employee,end,family,far,federal,feel,financial,food,forecast,free,freeze,fund,funding,going,good,gop,government,grant,group,ha,hard,having,health,help,home,house,idea,including,income,individual,industry,insurance,ivy,job,just,justice,kid,kind,know,labor,law,le,league,leavitt,left,let,level,life,like,likely,limit,little,loan,long,lot,maga,major,majority,make,making,marcotte,mean,meat,medicaid,member,memo,men,middle,million,money,month,musk,national,need,new,number,office,opportunity,order,parent,party,past,pause,pay,people,percent,person,place,plan,point,policy,political,poor,power,prediction,president,program,project,provide,public,question,read,really,repeal,republican,right,said,sargent,say,school,security,senate,service,social,spending,start,state,student,suicide,support,tariff,tax,term,thing,think,time,told,trillion,trump,trying,tuesday,union,use,ve,vote,voter,wa,want,way,wealth,week,white,woman,work,working,workplace,world,wrote,year
0,The New Republic,Robert Mccoy,Left,-4.0,2024-12-20T15:20:06Z,student_loan_forgiveness,0,0,0,6,0,0,1,0,0,0,7,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,2,3,0,0,6,0,0,0,0,2,0,2,0,1,0,0,0,6,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
1,The New Republic,Ana Marie Cox,Left,-4.0,2024-12-24T11:00:00Z,student_loan_forgiveness,0,0,1,0,1,0,0,5,0,0,1,0,0,0,0,1,0,0,6,1,0,0,0,1,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,2,0,1,2,0,1,0,0,1,1,0,0,2,1,0,2,4,0,0,0,0,0,0,0,3,0,2,0,0,4,1,0,5,2,1,1,2,0,0,2,0,1,0,1,4,0,0,0,0,0,2,3,0,0,0,2,3,6,4,3,2,1,7,0,1,0,0,0,7,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,2,11,6,1,1,1,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,1,1,9,4,14,0,0,2,0,1,0,4,0,0,1,0,0,1,0,3,0,0,4,1,2,0,0,0,1,1,0,0,1,0,7
2,HuffPost,Jonathan Nicholson,Left,-4.3,2025-01-16T16:41:18Z,student_loan_forgiveness,0,0,0,1,0,0,0,2,1,0,1,2,2,1,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,6,0,12,0,2,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,2,0,6,4,2,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,2,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,2,0,0,0,9,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,12,2,11,0,1,0,2,1,0,1,8,1,0,1,0,0,0,5,1,0,1,1,0,5,3,0,0,0,0,1,7,0,3,3,0,0,0,0,0,2,2,0,0,0,4
3,Vox,"Dylan Matthews, Bryan Walsh, Marina Bolotnikova, Kenny Torrella, Izzie Ramirez, Dylan Scott",Left,-3.5,2024-12-31T23:03:48Z,student_loans,3,0,6,5,0,23,8,6,0,0,5,2,5,3,4,2,4,19,4,4,3,0,0,1,3,9,12,9,2,7,3,8,4,1,0,1,0,13,3,1,6,7,2,0,11,12,4,4,1,3,3,1,11,0,4,6,3,3,11,23,4,0,1,0,10,3,2,8,1,1,46,3,2,10,2,2,5,6,7,0,3,10,4,0,2,10,0,0,4,5,1,7,5,3,0,2,7,5,2,26,4,2,2,3,10,3,0,10,4,20,2,0,13,17,5,4,0,1,0,6,1,7,19,4,3,18,6,6,2,1,1,5,7,1,0,8,60,7,2,4,8,5,3,3,1,22,14,7,0,2,1,9,1,6,4,12,2,5,0,3,3,1,8,1,2,3,1,12,5,0,3,16,7,6,7,21,25,0,0,32,2,1,0,8,12,2,1,24,6,10,0,2,0,1,3,1,0,11,2,57
4,The New Republic,Matt Ford,Left,-4.0,2025-01-09T11:00:00Z,student_loans,0,0,3,10,10,0,0,2,0,0,6,0,1,0,0,2,0,0,1,3,1,0,3,0,0,0,2,10,1,0,10,0,1,2,0,1,3,1,2,0,1,1,0,1,0,1,4,2,0,4,1,2,1,0,0,10,0,0,1,0,3,0,0,0,0,0,0,1,1,0,4,0,0,6,0,2,1,0,0,0,0,0,0,0,0,1,16,0,1,0,1,2,0,0,0,0,0,0,0,1,3,0,1,2,1,0,0,12,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,1,2,0,0,0,0,0,2,0,0,0,0,0,5,5,0,6,0,7,0,0,3,2,10,0,0,0,0,0,2,0,1,1,0,0,5,0,0,0,1,3,0,0,0,1,1,1,1,3,0,0,6,0,0,0,2,0,0,0,9,0,0,0,0,1,0,3,0,4,0,5,5
5,Thenation.com,Takashi Williams,Left,-5.0,2025-01-17T10:00:00Z,student_loans,4,0,1,1,0,0,0,1,0,22,0,1,1,0,0,1,0,0,1,1,5,0,0,2,0,6,0,0,0,1,3,0,1,0,0,0,0,0,1,1,0,1,2,1,3,1,1,0,0,0,0,0,2,2,0,1,4,5,0,0,2,0,0,0,1,2,0,0,1,2,9,3,2,0,0,0,1,0,1,0,1,0,0,28,0,5,0,5,3,1,0,2,0,27,0,0,0,1,4,7,0,0,2,1,0,0,0,0,0,4,3,0,1,0,0,1,0,5,0,2,7,0,0,1,2,1,1,0,7,0,1,0,4,0,5,5,1,0,3,1,0,5,1,0,2,0,0,0,0,3,0,1,0,2,0,0,2,13,0,0,10,0,0,0,1,1,2,1,20,1,2,0,0,0,3,1,4,2,0,2,1,0,0,1,1,0,0,10,0,1,0,0,0,5,0,2,0,2,0,8
6,HuffPost,Marie Holmes,Left,-4.3,2025-01-04T10:00:06Z,student_loans,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2,0,10,0,0,1,1,0,0,0,1,0,0,1,2,0,0,0,0,1,0,1,1,4,0,2,0,0,0,0,0,0,0,0,3,1,0,3,4,0,0,0,0,0,0,0,2,0,0,0,0,6,4,3,0,7,9,3,0,0,0,0,0,1,0,1,0,0,8,2,0,0,0,2,0,0,1,0,0,5,8,0,1,0,2,2,1,0,0,1,2,1,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,11,0,0,0,3,6,0,1,0,0,1,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,14,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,1,2,0,3,3,0,0,1,0,0,1,0,0,0,9,2,2,0,1,0,0,4,2,0,0,1,2
7,HuffPost,Ap,Left,-4.3,2025-01-12T17:02:04Z,student_loans,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,1,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,0,0,3,12,3,0,1,1,0,1,3,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,2,1,0,0,1,1,0,1,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,2,0,0,2,0,0,0,2
8,New York Magazine,Ed Kilgore,Left,-4.0,2025-01-28T16:53:44Z,student_loans,0,0,3,3,0,0,0,0,2,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,4,3,0,3,0,1,0,0,0,1,0,1,1,0,2,0,3,1,1,0,0,2,1,0,0,0,0,0,8,0,0,1,0,0,2,4,0,0,0,0,1,5,1,3,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,1,0,0,0,0,0,1,0,3,0,4,0,0,0,0,0,0,0,0,2,1,1,0,4,0,0,0,3,0,1,0,0,1,0,0,2,0,1,3,0,2,7,0,0,0,2,0,1,0,0,1,1,0,0,0,2,0,2,3,2,1,3,0,0,1,0,0,1,0,0,0,0,1,8,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0
9,Raw Story,Agence France-Presse,Left,-4.0,2025-01-29T16:24:01Z,student_loans,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,2,2,0,0,0,7,0,0,0,0,0,1,0,1,0,0,0,2,1,0,5,0,1,2,0,0,4,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,2,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,2,2,2,0,0,0,3,1,0,0,0,0,1,2,0,0,1,0,0,0,0,1,2,1,13,0,2,0,0,0,0,0,4,0,0,0,0,4,0,2,0,0,0,0,1
