,source,author,Bias Specific,Bias Numeric,date,search,able,acceptance,access,according,account,act,administration,agencies,agency,aid,american,americans,assistance,balance,bank,based,best,biden,billion,borrowers,budget,business,card,changes,class,college,company,congress,cost,costs,country,court,cr,credit,crore,current,data,day,debt,december,department,development,did,does,doge,don,donald,driven,earnings,economic,education,employees,employment,end,enrollment,equity,example,executive,expected,expenses,faculty,family,federal,financial,forbearance,forgiveness,free,fund,funding,funds,future,going,good,government,graduation,grants,growth,health,help,high,higher,home,house,idr,including,income,increase,india,information,institutions,insurance,job,just,know,law,left,legal,life,like,likely,ll,loan,loans,location,long,low,lower,make,making,management,market,median,memo,million,money,month,monthly,months,musk,national,need,net,new,news,number,office,options,order,pause,pay,payment,payments,people,personal,plan,plans,policy,power,president,private,process,profit,program,programs,provide,pslf,public,quarter,rate,rates,ratio,read,real,relief,repayment,report,republican,research,right,rs,said,save,say,says,school,schools,sector,security,seen,service,services,set,social,spending,start,state,states,student,students,support,tax,term,think,time,total,trump,undergraduate,university,use,ve,want,washington,way,week,white,work,workers,working,year,years
0,CNET,Dashia Milden,Center,0.0,2025-01-13T19:26:22Z,student_loan_forgiveness,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,1,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,CNET,Elaine Rubin,Center,0.0,2024-12-23T23:30:03Z,student_loan_forgiveness,1,0,0,0,3,0,3,0,0,2,0,0,0,4,0,1,0,2,1,8,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,5,0,2,0,0,0,0,1,0,3,0,0,3,1,0,1,1,0,1,0,0,0,0,0,3,0,5,16,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,5,0,0,0,0,0,1,0,4,0,1,3,0,2,2,3,19,12,0,1,0,0,3,0,0,0,0,0,2,0,0,4,5,0,0,2,0,1,0,1,0,3,0,2,6,8,9,0,0,9,5,0,0,0,0,0,0,8,1,0,7,3,0,1,0,0,4,0,3,14,0,0,0,0,0,1,6,2,0,2,0,0,0,0,3,0,1,0,0,1,0,1,17,0,0,1,0,2,2,4,0,0,0,1,3,1,0,2,0,1,1,0,1,1,4
2,Time,Chad De Guzman,Lean Left,-2.3,2025-01-14T10:45:36Z,student_loan_forgiveness,0,0,3,5,0,4,16,0,0,1,2,1,1,0,0,1,0,34,4,2,0,2,0,0,1,0,1,1,1,1,0,1,0,4,0,1,0,3,4,1,6,0,0,0,0,1,1,0,0,0,2,1,0,3,0,0,0,1,1,0,0,0,2,1,0,2,0,1,0,0,1,1,0,0,0,0,1,1,2,0,1,1,5,0,2,0,3,0,1,0,0,0,1,1,2,0,0,0,1,1,0,7,0,0,1,1,1,2,1,0,0,0,0,4,0,1,1,1,0,5,3,0,4,0,2,3,0,2,0,1,0,2,2,0,1,1,3,0,8,0,0,0,0,1,1,0,1,0,0,0,0,2,0,2,1,0,0,1,0,0,15,0,2,0,0,0,1,10,2,4,0,0,5,0,0,1,1,4,0,1,1,4,0,3,1,15,0,0,1,1,1,1,1,0,5,0,1,2,1,1
3,Yahoo Entertainment,Heather Altamirano,Lean Left,-1.95,2025-01-14T14:00:30Z,student_loan_forgiveness,3,0,0,3,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,4,7,0,0,0,2,3,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,3,0,0,0,3,1,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,1,3,0,2,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,5,0,2,0,0,0,0,0,4,0,0,1,0,0,1,3,0,1,0,0,0,1,0,1,0,0,3,0,0,0,1,0,0,3,0,0,3,0,0,6,0,0,0,0,2,0,0,2,0,3,3,0,1,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,1,0,2,1,0,3,0,16,0,1,0,0,0,0,2,0,2,0,0,0,1,1
4,CNET,Elaine Rubin,Center,0.0,2025-01-14T19:00:07Z,student_loan_forgiveness,1,0,0,0,3,0,3,0,0,2,0,0,0,4,0,1,0,2,1,8,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,5,0,2,0,0,0,0,1,0,3,0,0,3,1,0,1,1,0,1,0,0,0,0,0,3,0,5,16,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,5,0,0,0,0,0,1,0,4,0,1,3,0,2,2,3,19,12,0,1,0,0,3,0,0,0,0,0,2,0,0,4,5,0,0,2,0,1,0,1,0,3,0,2,6,8,9,0,0,9,5,0,0,0,0,0,0,8,1,0,7,3,0,1,0,0,4,0,3,14,0,0,0,0,0,1,6,2,0,2,0,0,0,0,3,0,1,0,0,1,0,1,17,0,0,1,0,2,2,4,0,0,0,1,3,1,0,2,0,1,1,0,1,1,4
5,CNET,Mike De Socio,Center,0.0,2025-01-11T14:00:08Z,student_loan_forgiveness,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8,3,0,1,1,0,4,0,0,0,0,0,0,0,0,4,7,0,0,4,0,2,0,1,0,0,1,1,4,8,8,0,0,3,0,0,0,0,0,1,0,14,0,0,17,3,0,0,0,0,1,0,4,2,0,0,0,0,0,5,3,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,3,0,0,0,1,0,2,2,0,0,0,1,2,0,0,0,0,2,0,0,0,1,6
6,NPR,Cory Turner,Lean Left,-2.0,2025-01-16T10:00:00Z,student_loan_forgiveness,0,0,1,2,0,1,8,0,0,7,4,0,0,0,0,0,0,37,4,10,0,0,1,1,0,3,0,7,0,0,2,4,0,0,0,1,0,0,5,0,16,0,5,0,0,0,1,1,0,0,27,0,0,2,0,0,1,3,0,0,0,0,7,4,0,17,1,0,6,0,2,3,0,1,0,1,1,0,4,3,0,0,1,0,3,3,0,0,1,0,0,1,4,4,1,3,2,0,2,5,1,17,2,0,1,2,2,4,0,0,0,0,0,4,5,1,0,1,0,2,3,0,3,1,1,4,0,2,1,2,0,0,3,0,6,1,2,1,9,0,0,0,1,3,2,0,2,0,0,0,0,0,1,4,3,1,3,1,3,0,4,2,0,16,6,10,0,0,1,4,1,2,0,0,2,0,1,15,14,1,0,0,5,6,1,3,0,1,0,1,1,1,3,3,1,5,0,0,7,4
7,Al Jazeera English,Al Jazeera,Lean Left,-2.3,2024-12-20T13:33:49Z,student_loan_forgiveness,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,5,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,1,1,0,0,4,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,6,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0
8,Al Jazeera English,Somdeep Sen,Lean Left,-2.3,2024-12-23T11:08:46Z,student_loan_forgiveness,2,0,3,0,0,0,5,1,0,1,9,1,0,0,0,2,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,19,0,0,1,0,1,2,0,3,0,1,0,4,1,0,2,0,1,2,0,2,0,0,0,0,0,0,0,1,0,15,0,2,0,0,2,0,0,0,10,0,0,0,0,1,2,0,0,0,4,0,3,1,0,0,2,0,2,1,0,0,0,0,0,2,0,1,0,0,0,3,0,1,0,0,1,0,0,0,1,0,1,1,0,0,3,0,1,4,0,0,0,1,3,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,2,0,0,0,0,1,1,0,0,5,3,1,5,0,1,3,0,3,0,20,0,6,0,0,1,0,2,0,2,1,0,0,1,0
9,The New Republic,Robert Mccoy,Left,-4.0,2024-12-20T15:20:06Z,student_loan_forgiveness,0,0,1,1,0,0,6,0,0,0,0,0,0,1,0,0,0,7,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,1,1,0,2,2,0,0,0,3,0,0,2,6,0,0,0,0,0,0,2,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,6,0,0,0,0,1,0,0,7,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,2,0,0,3
