,source,author,Bias Specific,Bias Numeric,date,search,accept,access,accord,account,act,action,addit,administr,agenc,aid,allow,american,ani,anoth,balanc,bank,base,becaus,befor,benefit,biden,billion,borrow,budget,busi,card,challeng,chang,colleg,come,commun,compani,congress,consid,consum,continu,cost,countri,court,creat,credit,crore,current,cut,data,day,debt,democrat,depart,develop,don,dure,earn,econom,educ,effect,effort,employ,end,enrol,equiti,execut,expect,expens,faculti,famili,feder,financ,financi,forgiv,free,fund,futur,gener,good,govern,graduat,grant,growth,ha,health,help,hi,high,higher,home,hous,howev,idr,impact,import,includ,incom,increas,india,inform,initi,institut,invest,issu,job,just,know,law,legal,like,limit,live,loan,locat,long,look,lower,major,make,manag,mani,market,mean,million,money,month,monthli,nation,need,new,news,number,offer,offic,onli,opportun,option,order,paus,pay,payment,peopl,person,plan,polici,power,presid,privat,process,profit,program,project,propos,provid,pslf,public,qualifi,quarter,rate,receiv,relief,remain,repay,report,republican,requir,research,right,rs,rule,said,save,say,school,sector,secur,servic,set,share,sinc,social,spend,start,state,student,support,tax,term,thi,think,time,total,tri,trump,undergradu,univers,use,wa,want,way,week,white,work,year
0,CNET,Dashia Milden,Center,0.0,2025-01-13T19:26:22Z,student_loan_forgiveness,0,0,0,0,0,0,1,4,0,0,0,0,0,0,2,0,0,0,1,0,1,2,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,5,0,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1
1,CNET,Elaine Rubin,Center,0.0,2024-12-23T23:30:03Z,student_loan_forgiveness,0,0,0,3,0,2,0,5,0,2,0,0,3,1,4,0,1,1,2,1,2,1,9,2,0,0,3,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,5,0,2,0,1,2,1,0,3,0,1,1,2,6,0,0,0,0,0,0,3,0,0,16,0,0,1,0,1,0,2,0,0,3,0,1,0,0,0,0,1,2,1,0,2,1,5,0,0,0,1,0,0,0,1,0,4,0,4,4,0,0,31,0,1,2,0,0,3,0,2,0,1,2,0,5,4,0,2,1,0,1,1,0,1,1,3,0,2,6,17,0,0,14,0,0,0,0,0,0,9,0,0,0,7,3,6,0,1,1,3,1,14,0,0,2,0,0,0,1,1,8,2,2,0,0,4,1,0,2,0,0,2,1,17,0,2,0,8,2,2,4,0,0,0,0,1,1,1,3,0,1,4,5
2,Time,Chad De Guzman,Lean Left,-2.3,2025-01-14T10:45:36Z,student_loan_forgiveness,0,3,5,0,4,1,2,16,0,1,2,3,2,0,0,0,1,0,2,7,34,4,2,0,3,0,0,0,0,1,1,3,1,0,3,2,2,2,1,0,5,0,1,2,0,7,4,0,6,0,1,3,0,0,2,0,2,0,4,0,0,1,1,0,0,3,2,1,1,2,0,1,1,0,0,0,0,1,1,14,1,2,14,0,1,1,5,2,0,0,0,2,0,3,0,1,1,0,0,1,0,1,1,2,1,2,1,0,7,0,1,2,2,1,3,0,3,0,1,5,0,2,1,8,5,4,0,2,0,4,0,1,0,3,0,1,2,2,0,3,8,0,11,0,0,0,1,0,3,2,0,1,0,0,0,2,2,3,1,3,0,1,1,1,0,3,15,0,2,0,1,14,4,0,0,2,5,0,0,2,4,1,1,4,7,0,3,2,0,15,0,0,4,1,1,1,0,5,2,2
3,Yahoo Entertainment,Heather Altamirano,Lean Left,-1.95,2025-01-14T14:00:30Z,student_loan_forgiveness,0,0,3,0,1,0,1,1,0,0,0,3,0,3,1,0,0,1,1,1,0,0,0,1,0,0,1,4,0,2,0,0,0,0,1,0,5,1,0,0,2,0,0,3,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,4,2,0,1,3,2,1,1,0,2,0,0,2,0,0,0,1,2,1,0,6,1,3,0,4,0,0,1,5,0,1,6,0,0,0,0,1,0,0,1,0,0,0,5,0,0,2,0,0,1,0,0,4,0,2,1,0,2,3,0,1,0,1,1,0,0,0,3,2,0,0,0,0,1,0,3,0,4,6,0,6,0,0,0,2,0,2,0,0,2,0,0,6,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,2,2,3,0,3,1,3,0,4,0,0,16,0,1,0,0,1,3,0,2,0,2
4,CNET,Elaine Rubin,Center,0.0,2025-01-14T19:00:07Z,student_loan_forgiveness,0,0,0,3,0,2,0,5,0,2,0,0,3,1,4,0,1,1,2,1,2,1,9,2,0,0,3,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,5,0,2,0,1,2,1,0,3,0,1,1,2,6,0,0,0,0,0,0,3,0,0,16,0,0,1,0,1,0,2,0,0,3,0,1,0,0,0,0,1,2,1,0,2,1,5,0,0,0,1,0,0,0,1,0,4,0,4,4,0,0,31,0,1,2,0,0,3,0,2,0,1,2,0,5,4,0,2,1,0,1,1,0,1,1,3,0,2,6,17,0,0,14,0,0,0,0,0,0,9,0,0,0,7,3,6,0,1,1,3,1,14,0,0,2,0,0,0,1,1,8,2,2,0,0,4,1,0,2,0,0,2,1,17,0,2,0,8,2,2,4,0,0,0,0,1,1,1,3,0,1,4,5
5,CNET,Mike De Socio,Center,0.0,2025-01-11T14:00:08Z,student_loan_forgiveness,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,1,0,0,0,7,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,3,0,2,0,0,0,0,2,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,4,0,1,0,1,0,0,7,4,0,5,2,0,1,1,0,3,1,1,1,1,4,16,0,0,3,0,0,0,0,1,0,14,0,0,0,17,3,4,0,0,3,4,3,2,0,0,3,0,0,0,0,5,4,0,0,0,0,5,0,0,1,0,0,1,0,3,0,0,1,3,0,2,2,0,0,0,0,1,1,0,0,0,2,1,7
6,NPR,Cory Turner,Lean Left,-2.0,2025-01-16T10:00:00Z,student_loan_forgiveness,0,1,2,2,1,1,0,12,0,7,0,4,2,3,0,0,0,6,0,0,37,4,10,0,0,1,4,1,4,2,3,0,7,0,0,0,0,2,9,3,0,0,1,0,0,1,6,2,16,0,0,5,0,0,31,0,8,0,2,1,0,3,0,0,0,1,7,0,4,19,1,7,2,2,0,1,0,1,1,6,0,5,13,3,0,0,1,0,0,0,1,4,3,0,0,1,0,1,0,1,1,4,4,1,4,8,1,0,19,0,1,3,2,0,5,1,7,0,2,4,5,2,0,5,3,3,1,1,1,4,3,0,0,2,1,2,0,3,1,7,2,1,9,0,1,0,4,1,0,4,0,2,2,0,0,1,4,2,3,2,3,4,2,3,0,1,4,2,18,17,0,0,6,2,1,1,0,1,2,1,29,1,0,2,8,6,7,1,1,3,0,1,2,26,1,4,4,1,8,11
7,Al Jazeera English,Al Jazeera,Lean Left,-2.3,2024-12-20T13:33:49Z,student_loan_forgiveness,0,0,1,0,0,1,0,2,0,0,0,2,0,1,0,0,0,2,2,0,6,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,6,1,2,0,0,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,2,0,1,4,0,0,0,0,0,0,0,0,3,0,0,1,1,2,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,3,0,0,1,0,0,1,2,6,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,0,2
8,Al Jazeera English,Somdeep Sen,Lean Left,-2.3,2024-12-23T11:08:46Z,student_loan_forgiveness,1,4,0,0,0,0,0,5,1,1,3,10,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,2,7,1,1,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,1,0,2,1,0,2,0,0,21,1,2,0,2,0,1,0,3,0,1,0,5,0,1,2,0,4,2,0,0,0,1,0,0,11,0,1,7,0,15,0,2,1,0,0,0,3,6,1,0,0,2,10,0,0,0,0,0,2,0,4,0,2,4,0,0,0,0,0,3,0,3,0,1,2,2,0,1,0,3,1,0,0,0,1,2,0,0,0,0,1,1,1,0,3,2,1,5,0,0,0,4,3,1,1,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,3,0,0,2,2,0,0,1,0,1,1,0,0,9,6,0,1,3,8,0,4,0,0,20,0,16,0,0,1,2,0,2,1,1
9,The New Republic,Robert Mccoy,Left,-4.0,2024-12-20T15:20:06Z,student_loan_forgiveness,0,1,1,0,0,1,0,6,0,0,0,0,0,0,1,0,0,2,0,0,7,2,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,2,0,2,2,0,0,0,3,0,0,0,2,6,0,0,0,0,2,1,0,0,2,0,0,0,0,0,2,1,2,0,0,0,6,0,0,1,0,0,1,0,7,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,3
