source,author,Bias Specific,Bias Numeric,date,search,able,acceptance,access,according,account,act,administration,agencies,agency,aid,american,americans,assistance,balance,bank,based,best,biden,billion,borrowers,budget,business,card,changes,class,college,company,congress,cost,costs,country,court,cr,credit,crore,current,data,day,debt,december,department,development,did,does,doge,don,donald,driven,earnings,economic,education,employees,employment,end,enrollment,equity,example,executive,expected,expenses,faculty,family,federal,financial,forbearance,forgiveness,free,fund,funding,funds,future,going,good,government,graduation,grants,growth,health,help,high,higher,home,house,idr,including,income,increase,india,information,institutions,insurance,job,just,know,law,left,legal,life,like,likely,ll,loan,loans,location,long,low,lower,make,making,management,market,median,memo,million,money,month,monthly,months,musk,national,need,net,new,news,number,office,options,order,pause,pay,payment,payments,people,personal,plan,plans,policy,power,president,private,process,profit,program,programs,provide,pslf,public,quarter,rate,rates,ratio,read,real,relief,repayment,report,republican,research,right,rs,said,save,say,says,school,schools,sector,security,seen,service,services,set,social,spending,start,state,states,student,students,support,tax,term,think,time,total,trump,undergraduate,university,use,ve,want,washington,way,week,white,work,workers,working,year,years
CNET,Dashia Milden,Center,0.0,2025-01-13T19:26:22Z,student_loan_forgiveness,0.0,0.0,0.0,0.0,0.0,0.0,0.2367998251134816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0728925540100279,0.170748011636342,0.4628245764207881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0814087253875983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0870831514897808,0.0,0.0,0.0652705874555172,0.0,0.0,0.0,0.0901136747678994,0.0,0.0,0.0,0.077362589594827,0.0951648072620962,0.0,0.0,0.0579576011010741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5495613064849785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0722946638436727,0.0,0.0,0.0,0.0,0.0,0.0,0.0683528076219465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2818081929832826,0.0889626488657182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0724929216491973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0519389352676549,0.085653600781035,0.0,0.0694381283914134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0771374294034646,0.0,0.0,0.0579576011010741,0.0,0.0,0.0,0.1474091923422666,0.0698068707936677,0.0,0.1126726562434903,0.0638180617197636,0.0,0.0,0.0,0.0,0.0966328552422325,0.0,0.1669443522207896,0.0873756015165077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0989465661518619,0.0,0.0,0.0,0.0769135898073286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2012073551002585,0.0,0.0,0.0,0.0,0.0,0.0,0.2639019350719935,0.0638180617197636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0589203613155063
CNET,Elaine Rubin,Center,0.0,2024-12-23T23:30:03Z,student_loan_forgiveness,0.0272920066449056,0.0,0.0,0.0,0.0885613386006857,0.0,0.0534112324184527,0.0,0.0,0.0513506107539104,0.0,0.0,0.0,0.117615686519779,0.0,0.0234715328665656,0.0,0.0438432885039893,0.0256753053769552,0.1855859555326845,0.0473617121665844,0.0,0.0,0.0,0.0,0.0258440962364295,0.0,0.0,0.0255918317611008,0.0,0.0,0.0,0.0,0.0,0.0,0.0261893123821523,0.0,0.0,0.0981471027974759,0.0,0.0418761539113026,0.0,0.0,0.0,0.0,0.0214482752428478,0.0,0.0858593478487109,0.0,0.0,0.0522903579230592,0.0297571055452271,0.0,0.0239660278107875,0.0410146435139716,0.0,0.0267274220956897,0.0,0.0,0.0,0.0,0.0,0.0489084583478204,0.0,0.1850846424766283,0.3777705063974492,0.0,0.0,0.0,0.0,0.0244827903369903,0.0,0.0229974654746512,0.0,0.0427309046955599,0.0,0.0,0.0,0.0217418352755277,0.0,0.0,0.0,0.0205028562228915,0.036150285155848,0.0,0.1027818240603287,0.0,0.0,0.0,0.0,0.0,0.0280907686336959,0.0,0.0997801475901744,0.0,0.0263658938895346,0.0741347601467985,0.0,0.0362059802882887,0.0503666682814767,0.0839634902457124,0.3220528673134845,0.1605273048778974,0.0,0.0226704470122906,0.0,0.0,0.0561778709960517,0.0,0.0,0.0,0.0,0.0,0.0436029183162604,0.0,0.0,0.1076501929259522,0.1296471586714408,0.0,0.0,0.0412202480557292,0.0,0.0156200709006337,0.0,0.0255918317611008,0.0,0.0810187296412747,0.0,0.0590408924004571,0.1233381888723945,0.2138193767655177,0.2034553205085013,0.0,0.0,0.1830943000398927,0.1159912222079278,0.0,0.0,0.0,0.0,0.0,0.0,0.1773268569273328,0.0209936585247543,0.0,0.2371955468496958,0.0575777676419474,0.0,0.0292885681806853,0.0,0.0,0.1162451284329148,0.0,0.0753100522193331,0.3678816897374167,0.0,0.0,0.0,0.0,0.0,0.0159384214914871,0.1496702213852617,0.0500478417231929,0.0,0.0498900737950872,0.0,0.0,0.0,0.0,0.069392781339565,0.0,0.0255918317611008,0.0,0.0,0.0253449927510537,0.0,0.022542204654782,0.2057371538919027,0.0,0.0,0.0266359668581021,0.0,0.0534548441913794,0.0347786927279135,0.1058208558543188,0.0,0.0,0.0,0.0234715328665656,0.0804588357640982,0.0233340752764546,0.0,0.0456002769332995,0.0,0.0241846548322188,0.0213329217935884,0.0,0.0260154064553147,0.0182775573356932,0.0708786359594329
Time,Chad De Guzman,Lean Left,-2.3,2025-01-14T10:45:36Z,student_loan_forgiveness,0.0,0.0,0.076069425355087,0.1026834562497105,0.0,0.0932921491193485,0.2646578252219726,0.0,0.0,0.0238544292626662,0.0470950843907352,0.0228877282833018,0.0285746044084048,0.0,0.0,0.0218069468787846,0.0,0.6924771624487243,0.0954177170506651,0.0431060797856394,0.0,0.0533823270176889,0.0,0.0,0.0318051340236989,0.0,0.0316423279665479,0.0227464866209775,0.0237768755418647,0.0251787445106886,0.0,0.0234721808244109,0.0,0.0963621325699008,0.0,0.0243319832222384,0.0,0.07800885361662,0.0729492588039681,0.0308636178956959,0.1167189721723369,0.0,0.0,0.0,0.0,0.0199271773821209,0.021615952108384,0.0,0.0,0.0,0.0323879729538271,0.027646750792979,0.0,0.0667991176805219,0.0,0.0,0.0,0.0226070913078238,0.0311683126131498,0.0,0.0,0.0,0.0302932679962408,0.016308444709324,0.0,0.0438724081859792,0.0,0.0298609317653956,0.0,0.0,0.0227464866209775,0.0233230372798371,0.0,0.0,0.0,0.0,0.0318051340236989,0.02600295120554,0.040399836652858,0.0,0.0211831673371197,0.0272114417964438,0.0952440343495503,0.0,0.0357516049337108,0.0,0.07800885361662,0.0,0.0262924782103848,0.0,0.0,0.0,0.0181457811809686,0.0231759509532899,0.0445327451203479,0.0,0.0,0.0,0.0168191377471923,0.0233973483095363,0.0,0.1102363999092124,0.0,0.0,0.0210626735171413,0.0250039276511327,0.0253564751183623,0.0347958483875925,0.0218069468787846,0.0,0.0,0.0,0.0,0.0810212548867762,0.0,0.0251787445106886,0.0250039276511327,0.0240905331424752,0.0,0.1173609041220547,0.0574454019338069,0.0,0.0580492221465739,0.0,0.0475537510837295,0.0582053134079024,0.0,0.0452141826156476,0.0,0.0190985206644165,0.0,0.0420058667261847,0.0345424531784327,0.0,0.0189010411390997,0.0215530398928197,0.0715632877879988,0.0,0.1295518918153086,0.0,0.0,0.0,0.0,0.0195048017887572,0.0221330759544257,0.0,0.017831463153045,0.0,0.0,0.0,0.0,0.0540005494116028,0.0,0.0466460745596742,0.0244136969524139,0.0,0.0,0.0275362462848391,0.0,0.0,0.2221211836306851,0.0,0.0464984810348769,0.0,0.0,0.0,0.0352626927797946,0.2466266366050142,0.0629639404275205,0.0859619866639147,0.0,0.0,0.1106653797721285,0.0,0.0,0.0224694946941105,0.0209435260249985,0.0449756252936251,0.0,0.0218069468787846,0.0247469612505411,0.0859619866639147,0.0,0.0484683153722476,0.024579027234836,0.2674719472956761,0.0,0.0,0.0218069468787846,0.024917582324244,0.021679237692398,0.0260985894215638,0.0211831673371197,0.0,0.1123474734705528,0.0,0.0273186144534059,0.0483408211833631,0.0169813247459931,0.0164629921913812
Yahoo Entertainment,Heather Altamirano,Lean Left,-1.95,2025-01-14T14:00:30Z,student_loan_forgiveness,0.1396235250857223,0.0,0.0,0.1130837473477353,0.0,0.0428088508032722,0.0303608006161157,0.0,0.0,0.0,0.0432209239530182,0.0840197040848313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040383064614441,0.0,0.0,0.1959638485684995,0.4086426886016966,0.0,0.0,0.0,0.0872837191337517,0.1386448648483196,0.0451141889094904,0.0,0.0,0.0442175702372632,0.0,0.0,0.0,0.0477277656956394,0.0,0.0566493976703569,0.0357057917006121,0.0,0.0,0.0,0.0,0.0,0.039675538724901,0.0488054370406897,0.0,0.0493673728131503,0.0297236566010943,0.0,0.0,0.0408693691744259,0.0,0.0,0.0,0.0,0.1716259715795553,0.0,0.0,0.0,0.0834038020714216,0.0299337418200851,0.0,0.0402633532219556,0.0,0.0,0.0856177016065445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0583775269430995,0.0477277656956394,0.0,0.0432209239530182,0.1166435193489315,0.0,0.0699272158673171,0.0,0.0,0.0350548563583966,0.2863665941738368,0.0,0.0,0.0,0.0,0.0,0.0333061268978229,0.0,0.0,0.0,0.0,0.0,0.0,0.2147262341858523,0.0,0.0578103289057958,0.0,0.0,0.0,0.0,0.0,0.12773381651158,0.0,0.0,0.0574943958687343,0.0,0.0,0.0371781210432267,0.1065527721462819,0.0,0.0458940829820012,0.0,0.0,0.0,0.0351465321777839,0.0,0.0266369733528124,0.0,0.0,0.1068343950121233,0.0,0.0,0.0,0.0350548563583966,0.0,0.0,0.0951027115434644,0.0,0.0,0.1186801947865947,0.0,0.0,0.1783419396065663,0.0,0.0,0.0,0.0,0.0716011503736821,0.0,0.0,0.0654584080592854,0.0,0.1498377597260382,0.152849612464069,0.0,0.0495583280024706,0.053358495455685,0.0,0.0448107293167902,0.0,0.0,0.0,0.0,0.0,0.081539573908863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0436418595668758,0.0,0.0,0.0864418479060364,0.0,0.0384413174897121,0.0412758169074993,0.0417506065086072,0.0,0.0908448551788426,0.039445268402389,0.0,0.0889623789801268,0.0,0.5236672644742836,0.0,0.0470409320076844,0.0,0.0,0.0,0.0,0.077762346232621,0.0,0.0824843895281733,0.0,0.0,0.0,0.031168796275157,0.0302174098527701
CNET,Elaine Rubin,Center,0.0,2025-01-14T19:00:07Z,student_loan_forgiveness,0.0272920066449056,0.0,0.0,0.0,0.0885613386006857,0.0,0.0534112324184527,0.0,0.0,0.0513506107539104,0.0,0.0,0.0,0.117615686519779,0.0,0.0234715328665656,0.0,0.0438432885039893,0.0256753053769552,0.1855859555326845,0.0473617121665844,0.0,0.0,0.0,0.0,0.0258440962364295,0.0,0.0,0.0255918317611008,0.0,0.0,0.0,0.0,0.0,0.0,0.0261893123821523,0.0,0.0,0.0981471027974759,0.0,0.0418761539113026,0.0,0.0,0.0,0.0,0.0214482752428478,0.0,0.0858593478487109,0.0,0.0,0.0522903579230592,0.0297571055452271,0.0,0.0239660278107875,0.0410146435139716,0.0,0.0267274220956897,0.0,0.0,0.0,0.0,0.0,0.0489084583478204,0.0,0.1850846424766283,0.3777705063974492,0.0,0.0,0.0,0.0,0.0244827903369903,0.0,0.0229974654746512,0.0,0.0427309046955599,0.0,0.0,0.0,0.0217418352755277,0.0,0.0,0.0,0.0205028562228915,0.036150285155848,0.0,0.1027818240603287,0.0,0.0,0.0,0.0,0.0,0.0280907686336959,0.0,0.0997801475901744,0.0,0.0263658938895346,0.0741347601467985,0.0,0.0362059802882887,0.0503666682814767,0.0839634902457124,0.3220528673134845,0.1605273048778974,0.0,0.0226704470122906,0.0,0.0,0.0561778709960517,0.0,0.0,0.0,0.0,0.0,0.0436029183162604,0.0,0.0,0.1076501929259522,0.1296471586714408,0.0,0.0,0.0412202480557292,0.0,0.0156200709006337,0.0,0.0255918317611008,0.0,0.0810187296412747,0.0,0.0590408924004571,0.1233381888723945,0.2138193767655177,0.2034553205085013,0.0,0.0,0.1830943000398927,0.1159912222079278,0.0,0.0,0.0,0.0,0.0,0.0,0.1773268569273328,0.0209936585247543,0.0,0.2371955468496958,0.0575777676419474,0.0,0.0292885681806853,0.0,0.0,0.1162451284329148,0.0,0.0753100522193331,0.3678816897374167,0.0,0.0,0.0,0.0,0.0,0.0159384214914871,0.1496702213852617,0.0500478417231929,0.0,0.0498900737950872,0.0,0.0,0.0,0.0,0.069392781339565,0.0,0.0255918317611008,0.0,0.0,0.0253449927510537,0.0,0.022542204654782,0.2057371538919027,0.0,0.0,0.0266359668581021,0.0,0.0534548441913794,0.0347786927279135,0.1058208558543188,0.0,0.0,0.0,0.0234715328665656,0.0804588357640982,0.0233340752764546,0.0,0.0456002769332995,0.0,0.0241846548322188,0.0213329217935884,0.0,0.0260154064553147,0.0182775573356932,0.0708786359594329
CNET,Mike De Socio,Center,0.0,2025-01-11T14:00:08Z,student_loan_forgiveness,0.0,0.0,0.0,0.0,0.0,0.0,0.0207522095189646,0.0,0.0,0.0,0.0,0.0,0.0,0.0685469682740009,0.0,0.0,0.0,0.0,0.0,0.1622405350309259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1144011745493203,0.0,0.0,0.0,0.0,0.0308364430953425,0.0,0.0,0.0,0.066718968840065,0.0,0.0,0.0203167089450285,0.0,0.0,0.0,0.0,0.0,0.0623074628444558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129441826932329,0.1376040033599416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0451899422750761,0.0,0.0,0.0,0.0,0.0506849702433026,0.0,0.0,0.0,0.0477966392620802,0.0,0.0,0.0479213794790714,0.0,0.0,0.0659722209852926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0652457493536727,0.1580580265958499,0.046778029360589,0.0,0.0264248835863841,0.0313695161654496,0.0,0.0873085975703237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1254780646617985,0.2115651051202187,0.0,0.0,0.0960934079230108,0.0,0.0364137994223527,0.0,0.029830076781582,0.0,0.0,0.0283624847315717,0.0344093062583302,0.0958427589581429,0.2492298513778234,0.2107994765776061,0.0,0.0,0.0711388055304134,0.0,0.0,0.0,0.0,0.0,0.0318118164163003,0.0,0.3617142048359962,0.0,0.0,0.671444949946986,0.0671131807095587,0.0,0.0,0.0,0.0,0.0338741003282677,0.0,0.1170427950656931,0.0612580448873953,0.0,0.0,0.0,0.0,0.0,0.0928898605825757,0.0872285000447873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0808848704059204,0.0,0.0,0.0,0.0,0.0295423589389856,0.0,0.0,0.0423192595294823,0.0,0.0,0.0,0.0269616234686401,0.0,0.0405383672462876,0.061672886190685,0.0,0.0,0.0,0.0273586366981088,0.0625223774784748,0.0,0.0,0.0,0.0,0.0563797165686052,0.0,0.0,0.0,0.0213044905809448,0.1239251945257831
NPR,Cory Turner,Lean Left,-2.0,2025-01-16T10:00:00Z,student_loan_forgiveness,0.0,0.0,0.0179970464230537,0.0291523000792391,0.0,0.0165537908046168,0.093921949807902,0.0,0.0,0.1185166661305125,0.0668525428807658,0.0,0.0,0.0,0.0,0.0,0.0,0.5348606136961725,0.0677238092174357,0.1529751504096513,0.0,0.0,0.0212917964875626,0.0189443566785877,0.0,0.0511267719278213,0.0,0.1130120419489444,0.0,0.0,0.0348904879021225,0.066638588522318,0.0,0.0,0.0,0.0172699016551584,0.0,0.0,0.0647207069936762,0.0,0.2209136457472863,0.0,0.0893545005206424,0.0,0.0,0.0,0.0153421677010372,0.0188726158198509,0.0,0.0,0.3103343811018563,0.0,0.0,0.031607622019061,0.0,0.0,0.0176247449476005,0.0481369200400987,0.0,0.0,0.0,0.0,0.0752534694831622,0.0463004159925941,0.0,0.2646809931819273,0.0161945353843718,0.0,0.099322744827701,0.0,0.0322891548425555,0.0496613724138505,0.0,0.0127827578019552,0.0,0.017504605854809,0.0225740553781248,0.0,0.0573484865172563,0.0501394071605744,0.0,0.0,0.01352010718924,0.0,0.0380626619445653,0.0406661763598499,0.0,0.0,0.018661385256453,0.0,0.0,0.0185237704848007,0.0515166977700265,0.0657975784501255,0.0158038110095305,0.0521590320370053,0.0325909031969973,0.0,0.0238751483728709,0.0830326695129144,0.0184558901739308,0.1900151632504382,0.0176426343168534,0.0,0.0149494719322052,0.0354936437020964,0.0359940928461075,0.0493934977821544,0.0,0.0,0.0,0.0,0.0,0.0575057565629633,0.0686716363035658,0.0178709001041285,0.0,0.0170985297166668,0.0,0.033319294261159,0.0407725269607772,0.0,0.0309008214149658,0.0169864002001841,0.0168759076695258,0.0550825103558042,0.0,0.0320912800267324,0.0194665363968004,0.0271107842398999,0.0,0.0,0.0367753481418378,0.0,0.0804913726935394,0.0152975150409651,0.0338619046087178,0.0188015485941464,0.1034447937006187,0.0,0.0,0.0,0.0146167324635468,0.0415312642975192,0.0314184044570388,0.0,0.0253121672991471,0.0,0.0,0.0,0.0,0.0,0.0206332418378068,0.0662151632184673,0.0519836967117852,0.0176855372738672,0.0568330700357633,0.0195441637842641,0.0496613724138505,0.0,0.042040809270583,0.0328987892250627,0.0,0.3102351538919787,0.0986963676751883,0.1962259561493727,0.0,0.0,0.0223446861908632,0.0610124970993334,0.0188015485941464,0.0337518153390516,0.0,0.0,0.0334262714403829,0.0,0.0148649056453977,0.1197073547097267,0.2260240838978889,0.0154777284102216,0.0,0.0,0.0881237247380026,0.0688018754759702,0.0174452439510612,0.0379682509487207,0.0,0.0181902978729316,0.0,0.0176855372738672,0.0153870853636104,0.0185237704848007,0.0451049813714899,0.0536127003123854,0.015947979252827,0.0703373681631157,0.0,0.0,0.0843688177660358,0.04673918332065
Al Jazeera English,Al Jazeera,Lean Left,-2.3,2024-12-20T13:33:49Z,student_loan_forgiveness,0.0,0.0,0.0,0.0681480649169542,0.0,0.0,0.1097786300778718,0.0,0.0,0.0,0.0781391420182719,0.0759496441695036,0.0,0.0,0.0,0.0,0.0,0.4055093225645751,0.0,0.071520672142243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0789001518418361,0.0,0.0815619772050627,0.0778890661156993,0.0,0.0,0.0,0.0,0.0,0.0,0.3631074814423082,0.0,0.1291050571524921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161212265636427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1034275758184193,0.0,0.0,0.0,0.0,0.0,0.0,0.2911685903764711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1264214679338682,0.0,0.0593182870661965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0602141727135806,0.0,0.073887764305757,0.0,0.0,0.0899451690779371,0.0,0.0,0.0,0.2612883464385971,0.0824848389638551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1624916911745102,0.0,0.0672143539394726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0789001518418361,0.1287639905363555,0.0,0.0,0.0,0.0,0.0,0.0,0.114624177426893,0.0,0.0627203945790938,0.071520672142243,0.0,0.0,0.214949687515236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1775134602349466,0.0,0.0902972674350938,0.0,0.0,0.0,0.0,0.1547883093009312,0.0,0.0,0.0,0.0913750845523251,0.0,0.0,0.1474154590656107,0.0769060697682446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2139393942383243,0.0,0.0,0.0,0.0,0.0781391420182719,0.0,0.0694980877771895,0.2238677444351616,0.0,0.0,0.0,0.0,0.0,0.0536117180416888,0.1631239544101254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1491235919583415,0.0,0.0906529045284838,0.0,0.1127001820382419,0.0
Al Jazeera English,Somdeep Sen,Lean Left,-2.3,2024-12-23T11:08:46Z,student_loan_forgiveness,0.0642470157733599,0.0,0.09637052366004,0.0,0.0,0.0,0.1047776960335582,0.0327034014154785,0.0,0.0302206021528831,0.2684863288388751,0.0289959119548285,0.0,0.0,0.0,0.055253392025121,0.0335594897267246,0.0516048615391489,0.0,0.0,0.0,0.0,0.0,0.0338143924768202,0.0,0.0304192740415453,0.0,0.0,0.0,0.0,0.0311385778795964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0231044149431058,0.0,0.0492894853037365,0.0,0.0,0.0,0.0,0.0,0.0273847293360157,0.0,0.0,0.0,0.3897996605487522,0.0,0.0,0.0282087313479358,0.0,0.0368289380003775,0.0629179499809169,0.0,0.1184591546777686,0.0,0.0537530703650112,0.0,0.0767556238671239,0.0206607759869617,0.0,0.0555808977309055,0.0,0.0378300955709198,0.0590947888855119,0.0,0.0576339525862635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0255907902277563,0.0,0.4025466709247274,0.0,0.0482649496715157,0.0,0.0,0.0483909120903812,0.0,0.0,0.0,0.3635487374698658,0.0,0.0,0.0,0.0,0.0282087313479358,0.0620668909633239,0.0,0.0,0.0,0.1185661491891671,0.0,0.0598525033606288,0.0157454531509478,0.0,0.0,0.0633537479755989,0.0,0.0440820226346484,0.0276266960125605,0.0,0.0,0.0,0.0,0.0,0.0490296862837008,0.0,0.0316768739877994,0.0,0.0,0.0,0.072776196748964,0.0,0.0183852905099841,0.0,0.0,0.0245796367670391,0.0,0.0,0.0,0.0241954560451906,0.0,0.0266081106456364,0.021880501172245,0.0,0.0,0.0819150820940649,0.0,0.0335594897267246,0.0820630864313162,0.0,0.0,0.0,0.026089876612685,0.0741304914619859,0.0280398610871431,0.0,0.0677707541628777,0.0,0.0,0.0,0.0,0.0,0.0368289380003775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0562799960235154,0.0,0.0,0.0,0.0,0.0700500060038864,0.0893469131123036,0.0,0.0,0.0,0.0,0.0301223512110555,0.0280398610871431,0.0,0.0,0.1423303094469293,0.0795985467575959,0.0142446342313355,0.1440848814656589,0.0,0.0313513294411903,0.0816773785688737,0.0,0.0614033419016897,0.0,0.4518050277525182,0.0,0.194810691747839,0.0,0.0,0.0274649043188435,0.0,0.0536728894566303,0.0,0.0569321237787717,0.0251094868324818,0.0,0.0,0.0215132315062653,0.0
The New Republic,Robert Mccoy,Left,-4.0,2024-12-20T15:20:06Z,student_loan_forgiveness,0.0,0.0,0.0699430204126084,0.0566481819179175,0.0,0.0,0.2737609563057713,0.0,0.0,0.0,0.0,0.0,0.0,0.0753553638445216,0.0,0.0,0.0,0.3932602765128608,0.1315995874869495,0.0594516667691552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062743657019348,0.0,0.0,0.0677985167726745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1509168212594646,0.0,0.053659386902694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0893386262427334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0859743286538044,0.0,0.0,0.0,0.041780307632178,0.0,0.0,0.3630514959565588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0496784121602484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0525440181065673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0614193157061957,0.0,0.0633300085466507,0.0747670576820327,0.0,0.0,0.0,0.2171963327223267,0.0342828235019488,0.0,0.0580990455840879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0558720332572682,0.0,0.0694527702708817,0.0,0.0,0.0,0.0,0.0,0.0,0.0400305830224963,0.0660152842866659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0579342590041475,0.0952815206562801,0.0,0.0521364227496376,0.0594516667691552,0.0,0.1461392126459709,0.0893386262427334,0.0,0.0,0.0,0.1704176996099597,0.0,0.0,0.1736790366177976,0.2951166640027819,0.0,0.0,0.0,0.0,0.0,0.0,0.128668015955132,0.0,0.0,0.073624610101404,0.0,0.0,0.0,0.0816928820389193,0.0639282866818383,0.0641304478046815,0.0,0.0,0.0,0.0,0.0,0.0,0.3556748893454369,0.0,0.0,0.0,0.0,0.0649532798525557,0.0,0.0,0.217105467568782,0.0,0.0,0.0,0.0,0.0,0.0,0.0677985167726745,0.0983722213342606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0619796055530243,0.0,0.1507107276890432,0.0,0.0,0.1362340065233119
