source,author,Bias Specific,Bias Numeric,date,search,access,according,account,act,action,administration,agency,aid,american,balance,bank,based,benefit,biden,billion,borrower,budget,business,card,case,challenge,change,class,college,come,community,company,congress,consumer,cost,country,court,cr,credit,crore,cut,data,day,debt,december,decision,democrat,department,development,did,doe,dollar,don,donald,driven,earnings,economic,education,effort,employee,employment,end,enrollment,equity,example,executive,expected,expert,faculty,family,federal,finance,financial,forbearance,forgiveness,free,fund,funding,future,going,good,government,graduation,grant,group,growth,ha,health,help,high,higher,home,house,idr,including,income,increase,india,information,initiative,institution,investment,issue,job,just,know,law,legal,life,like,likely,ll,loan,location,long,look,low,lower,make,making,management,market,mean,median,memo,million,money,month,monthly,mortgage,musk,national,need,net,new,news,number,offer,office,opportunity,option,order,pause,pay,payment,people,personal,plan,policy,power,president,price,private,profit,program,provide,pslf,public,quarter,rate,ratio,relief,repayment,report,republican,research,right,risk,rule,said,save,saving,say,school,sector,security,service,social,spending,start,state,statement,student,support,tax,term,thing,think,time,total,trump,undergraduate,university,use,ve,wa,want,washington,way,week,white,work,worker,working,year
CNET,Dashia Milden,Center,0.0,2025-01-13T19:26:22Z,student_loan_forgiveness,0.0,0.0,0.0,0.0,0.0,0.2363116987424709,0.0,0.0,0.0,0.1746320541909356,0.0,0.0,0.0,0.0730874814715949,0.1607758343489065,0.4560984601087407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081626426583622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0644680597780472,0.0,0.0,0.0,0.0,0.0,0.0903546545238367,0.0,0.0,0.0,0.0775694707147819,0.0954192946313762,0.0,0.0,0.0581125898816784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5510309297119796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0873160270954678,0.0,0.0,0.0,0.0690758383379597,0.0,0.0,0.0,0.0,0.0,0.0,0.0681796240633649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2794639538175844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063988722398925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0520778290812373,0.0858826535176427,0.0,0.0,0.0688949084481362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0609379760825623,0.0,0.0,0.0581125898816784,0.0,0.0,0.0,0.1828139282476871,0.0,0.1129739626686505,0.063988722398925,0.0,0.0,0.0,0.1673907906704133,0.0858826535176427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0747336105572405,0.0,0.0,0.0654451324430058,0.0,0.0,0.0,0.0,0.0,0.2000408819190088,0.0,0.0,0.0,0.0,0.0,0.0,0.2646076550869505,0.063988722398925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0499293611711641
CNET,Elaine Rubin,Center,0.0,2024-12-23T23:30:03Z,student_loan_forgiveness,0.0,0.0,0.0794920040812408,0.0,0.0461699701917655,0.0519754367383634,0.0,0.0497211602211255,0.0,0.1024249168466032,0.0,0.0229489587874655,0.0247807076520797,0.0428671542972912,0.0235744971626531,0.1783400993856655,0.0449708922203133,0.0,0.0,0.0237910061234868,0.0745817403316883,0.0,0.0,0.024086339827021,0.0,0.0,0.0,0.0,0.0,0.0214927964577998,0.0,0.0231536215975694,0.0,0.0,0.0,0.0,0.0,0.0213160678755341,0.0945292617185951,0.0,0.0,0.0,0.0394749889119206,0.0,0.0,0.0,0.0,0.0209707473051951,0.0,0.0839477611666971,0.0,0.0,0.0511261567695682,0.0235744971626531,0.0286364826678987,0.0,0.04433141688156,0.0386420262233676,0.0,0.0251858792071827,0.0,0.0,0.0269709084662542,0.0,0.0,0.0478195523642779,0.0,0.0,0.1788055380965407,0.3693597615341245,0.0,0.0,0.0,0.0238641140891697,0.0,0.0218548289196008,0.0,0.0417795367854477,0.0,0.0,0.0,0.0408766911252588,0.0,0.020257125848555,0.0,0.0,0.0,0.019942468794499,0.0353454292445652,0.0,0.0999715137876058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0235744971626531,0.0,0.0948734854073402,0.0,0.0724842116192158,0.0,0.0353153491826193,0.0492452964714563,0.0820941132500717,0.3629452480547932,0.0,0.02216570844078,0.0,0.0,0.0,0.0520985304737712,0.0,0.0,0.0,0.0224207656253765,0.0,0.0,0.0375305644842518,0.0,0.1034544080139527,0.10525345127499,0.0,0.0,0.0,0.0375305644842518,0.0,0.0152723030657513,0.0,0.0228145615758128,0.0255208901460729,0.0,0.0255208901460729,0.0709386110641624,0.0,0.0570496394525561,0.1202782635014112,0.3461880537466854,0.0,0.0,0.2501887189829841,0.0,0.0,0.0,0.0,0.0,0.0,0.1608356050604898,0.0,0.231914586071962,0.0562958467263778,0.0,0.0251036661431969,0.0,0.0736333367951966,0.3526023089005588,0.0,0.0,0.0,0.0,0.0269709084662542,0.0287492678689376,0.0155835658465416,0.1458783316565492,0.0500441019953878,0.04116172157951,0.0438326393309362,0.0,0.0,0.0575771637075355,0.0,0.0,0.048933568320253,0.0187188141300044,0.0266843729074614,0.1994570260619232,0.0,0.0497211602211255,0.0,0.0,0.0510417802921458,0.0322446537812166,0.1034648428656475,0.0,0.0,0.0,0.0229489587874655,0.0786674869738885,0.0150694897195247,0.0205262522486971,0.0,0.0612534778955683,0.0,0.0236462036880541,0.0202040664918232,0.0,0.025352134589395,0.0732112253081707
Time,Chad De Guzman,Lean Left,-2.3,2025-01-14T10:45:36Z,student_loan_forgiveness,0.070467276765792,0.0951213118416514,0.0,0.0848086271692506,0.0203207077981196,0.2440091475339228,0.0,0.0218836868215519,0.0542050998608611,0.0,0.0,0.0202009697582326,0.1526936500049318,0.6414795383622729,0.0830064158742412,0.0392462571802794,0.0,0.0667288083998099,0.0,0.0,0.0,0.0,0.0280492499492264,0.0,0.0,0.0260311153525563,0.0753274724992285,0.0210713169014707,0.0794106652411604,0.0378383468535405,0.0440516452336347,0.0203811255237221,0.0,0.1104883243889197,0.0,0.0234064284478341,0.0,0.1313452486250938,0.066567996393401,0.0285906603618666,0.0678472355479761,0.0,0.1042443447567423,0.0,0.0,0.0,0.0,0.0184596362755754,0.0200240408372657,0.0,0.0,0.0,0.0300027539759468,0.0415032079371206,0.0252074495280516,0.0,0.0780460342499833,0.0,0.0,0.0,0.0206265609401384,0.0288729157737311,0.0,0.0,0.0626347504691125,0.0280623139989141,0.0231625082192944,0.015107405920146,0.0,0.0406414155962393,0.0,0.0217435672049529,0.0,0.0210065411458073,0.0216054073676167,0.0,0.0,0.0,0.0,0.0450800985541407,0.0294628383395724,0.1679158711061839,0.0240879584770734,0.0356629327234558,0.0,0.0196231285901397,0.0243561632056662,0.0877724372493556,0.0,0.0331186705818408,0.0,0.0687733984875277,0.0,0.0243561632056662,0.0250118338815463,0.0,0.0,0.0,0.0,0.0168094313667022,0.0208782501563708,0.0392462571802794,0.0,0.0,0.0155432825394494,0.021674245746139,0.0,0.0721417533498867,0.0,0.0195115085624958,0.0,0.0230031778725301,0.0234064284478341,0.0305733794808399,0.0202009697582326,0.0,0.0,0.0197360243028556,0.0,0.0,0.0825913067753062,0.0,0.0364265653531468,0.0231625082192944,0.0,0.0,0.1080270368380837,0.0660730454202449,0.0,0.0537741751557483,0.0,0.0401653314826689,0.0,0.0533542815568911,0.0224649290113144,0.0,0.0400480816745315,0.0,0.0176459535417051,0.0358510916188589,0.0319985670580756,0.0,0.0314614631342333,0.1492899245255743,0.0,0.1200110159037872,0.0,0.0,0.0,0.0157307315671166,0.0205030809905351,0.0,0.0165182613550612,0.0,0.0,0.0,0.0432108147352334,0.0221700334603715,0.0420130822916146,0.0,0.0255083337226105,0.0187636069464419,0.0237413170385946,0.0759201882974677,0.2057630230461848,0.0,0.0,0.0362328722851962,0.0,0.0311130432484456,0.2195449907705985,0.0675768955267236,0.1025154049526755,0.0,0.0,0.0329547149961969,0.1879127380421122,0.0413113741966586,0.0197929597189279,0.0218836868215519,0.0713258654469117,0.0,0.0,0.0425753483152453,0.0227688996821809,0.2477739203259187,0.0,0.0,0.0202009697582326,0.0230825218118924,0.0132650160260162,0.018068366620287,0.0241765533968651,0.0179729236812664,0.0,0.1040736205122063,0.0,0.0250118338815463,0.0446327616769031,0.0257778622918838
Yahoo Entertainment,Heather Altamirano,Lean Left,-1.95,2025-01-14T14:00:30Z,student_loan_forgiveness,0.0,0.0897296913650444,0.0,0.033333977220137,0.0,0.0239769102415972,0.0,0.0,0.0852211207414673,0.0,0.0,0.0,0.0342949385546166,0.0,0.0,0.0,0.0311184411497727,0.0,0.0,0.0,0.0344054770063162,0.123759706764912,0.3086927182011562,0.0,0.0291798656956889,0.0,0.0,0.0,0.0416164156020285,0.1487233827693508,0.034628942543712,0.0,0.0,0.0694837855289651,0.0,0.1103985826056757,0.0,0.0295000953274281,0.0,0.0449501638227996,0.0,0.0,0.0273154491426493,0.0,0.0,0.0,0.0,0.0,0.0314817462988728,0.0387261379756964,0.0,0.039172022770041,0.0235851269135553,0.0,0.0,0.0,0.0306759443543291,0.0,0.0,0.0,0.0,0.1361817751997921,0.0373260385296039,0.0,0.0328247320273154,0.0661792485132903,0.0728320735391543,0.0237518253322276,0.0,0.0319481653434984,0.0,0.0,0.0679359335070138,0.0,0.0,0.0604914133561043,0.0,0.0,0.0,0.0,0.0463213998307935,0.0377138439073629,0.0378710273214044,0.0,0.0338604882145157,0.0925542992374298,0.0,0.0551982414333762,0.0,0.0,0.0276708556567004,0.2162507259040602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0264277454293833,0.0,0.0,0.0,0.0,0.0,0.170380971389525,0.0,0.0324060234106233,0.0,0.0,0.0355564173079082,0.0,0.0,0.0961347796018974,0.0,0.0,0.0440989597430223,0.0,0.0,0.0,0.0519399373487815,0.0843250977285291,0.0,0.0364160367695771,0.0931243778942399,0.0,0.0,0.0259699686743907,0.0,0.0211359055028223,0.0,0.0,0.0,0.0838834663584333,0.0,0.0,0.0,0.0,0.0277429234746563,0.0,0.0754620991514639,0.0,0.0741954490079726,0.1760349309770148,0.0,0.141510761481332,0.5095353981387285,0.0,0.0,0.0494636326719817,0.0,0.0,0.0519399373487815,0.0,0.2084513565868954,0.0,0.0,0.0348556704667728,0.0330264307960451,0.0,0.0,0.0,0.0,0.0,0.0647000207587835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0677209764290314,0.0259056597340518,0.0,0.0487122284265651,0.0,0.1032164310189487,0.028034586260535,0.2177416940544218,0.0,0.0892491397475408,0.0,0.4155194987902526,0.0,0.0349702878644975,0.0,0.0,0.0,0.0284070402471557,0.0,0.0847709553003333,0.0,0.0654497130523797,0.0,0.0,0.0,0.0405278898198242
CNET,Elaine Rubin,Center,0.0,2025-01-14T19:00:07Z,student_loan_forgiveness,0.0,0.0,0.0794920040812408,0.0,0.0461699701917655,0.0519754367383634,0.0,0.0497211602211255,0.0,0.1024249168466032,0.0,0.0229489587874655,0.0247807076520797,0.0428671542972912,0.0235744971626531,0.1783400993856655,0.0449708922203133,0.0,0.0,0.0237910061234868,0.0745817403316883,0.0,0.0,0.024086339827021,0.0,0.0,0.0,0.0,0.0,0.0214927964577998,0.0,0.0231536215975694,0.0,0.0,0.0,0.0,0.0,0.0213160678755341,0.0945292617185951,0.0,0.0,0.0,0.0394749889119206,0.0,0.0,0.0,0.0,0.0209707473051951,0.0,0.0839477611666971,0.0,0.0,0.0511261567695682,0.0235744971626531,0.0286364826678987,0.0,0.04433141688156,0.0386420262233676,0.0,0.0251858792071827,0.0,0.0,0.0269709084662542,0.0,0.0,0.0478195523642779,0.0,0.0,0.1788055380965407,0.3693597615341245,0.0,0.0,0.0,0.0238641140891697,0.0,0.0218548289196008,0.0,0.0417795367854477,0.0,0.0,0.0,0.0408766911252588,0.0,0.020257125848555,0.0,0.0,0.0,0.019942468794499,0.0353454292445652,0.0,0.0999715137876058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0235744971626531,0.0,0.0948734854073402,0.0,0.0724842116192158,0.0,0.0353153491826193,0.0492452964714563,0.0820941132500717,0.3629452480547932,0.0,0.02216570844078,0.0,0.0,0.0,0.0520985304737712,0.0,0.0,0.0,0.0224207656253765,0.0,0.0,0.0375305644842518,0.0,0.1034544080139527,0.10525345127499,0.0,0.0,0.0,0.0375305644842518,0.0,0.0152723030657513,0.0,0.0228145615758128,0.0255208901460729,0.0,0.0255208901460729,0.0709386110641624,0.0,0.0570496394525561,0.1202782635014112,0.3461880537466854,0.0,0.0,0.2501887189829841,0.0,0.0,0.0,0.0,0.0,0.0,0.1608356050604898,0.0,0.231914586071962,0.0562958467263778,0.0,0.0251036661431969,0.0,0.0736333367951966,0.3526023089005588,0.0,0.0,0.0,0.0,0.0269709084662542,0.0287492678689376,0.0155835658465416,0.1458783316565492,0.0500441019953878,0.04116172157951,0.0438326393309362,0.0,0.0,0.0575771637075355,0.0,0.0,0.048933568320253,0.0187188141300044,0.0266843729074614,0.1994570260619232,0.0,0.0497211602211255,0.0,0.0,0.0510417802921458,0.0322446537812166,0.1034648428656475,0.0,0.0,0.0,0.0229489587874655,0.0786674869738885,0.0150694897195247,0.0205262522486971,0.0,0.0612534778955683,0.0,0.0236462036880541,0.0202040664918232,0.0,0.025352134589395,0.0732112253081707
CNET,Mike De Socio,Center,0.0,2025-01-11T14:00:08Z,student_loan_forgiveness,0.0,0.0,0.0,0.0,0.0,0.020669079561736,0.0,0.0,0.0,0.0916454963840469,0.0,0.0,0.0,0.0,0.0,0.1861664004814389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0762908745861148,0.1127743961753961,0.0,0.0,0.0,0.0,0.0,0.0,0.0305484987946822,0.0,0.0,0.0,0.0667670370262948,0.0,0.0,0.0203313462718056,0.0,0.0,0.0,0.0,0.0,0.0,0.0600940337012655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1279901242750583,0.1377031412059615,0.0,0.0,0.0,0.0,0.0,0.0,0.0451097584701584,0.0,0.0,0.0,0.0,0.0487663192908701,0.0,0.0483339252689924,0.0,0.0,0.0,0.0475831469675787,0.0,0.0,0.0477068238857079,0.0,0.0,0.0660197511713768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0652927561477698,0.1536442636572048,0.0,0.0264439215938266,0.0,0.0311761763638958,0.0,0.0828721210623011,0.0,0.0,0.0,0.0267482074780082,0.0,0.0,0.0,0.0,0.1727910644458798,0.1255684662834779,0.0,0.0,0.0,0.0895487105449525,0.0,0.0364400340198352,0.0,0.0272180101583567,0.0304466883984541,0.0,0.0304466883984541,0.0282101678811288,0.0271385559038754,0.0340304077505583,0.0956621494254095,0.3887114941566289,0.0,0.0,0.0639595186874401,0.0,0.0,0.0,0.0,0.0,0.0,0.2984777538747208,0.0,0.6719286975446815,0.0671615329087144,0.0,0.0,0.0,0.1171271194335285,0.0600940337012655,0.0,0.0,0.0,0.0,0.0,0.0,0.0929567837859011,0.0870171863640257,0.0298515680862427,0.0,0.0,0.0,0.0,0.068690157444993,0.0,0.0,0.0291891289516888,0.0,0.0,0.0419919378615925,0.0,0.0,0.0241669626344962,0.0,0.0,0.0384682086155136,0.0617173188884662,0.0,0.0,0.0,0.02737834743505,0.0625674221986858,0.0179780585703701,0.0,0.0,0.0,0.0,0.0564203357622576,0.0,0.0,0.0,0.1222784586296201
NPR,Cory Turner,Lean Left,-2.0,2025-01-16T10:00:00Z,student_loan_forgiveness,0.0173235792325184,0.0280613923174601,0.0,0.0156369279451228,0.0149868452886974,0.101227853426155,0.0,0.1129769702903146,0.0533028313477866,0.0,0.0,0.0,0.0,0.5148456031012939,0.0612185522785598,0.1447236952483767,0.0,0.0,0.019198361708498,0.0,0.048418701552992,0.0145138817700352,0.0,0.0625477117804915,0.0273764786193116,0.057595085125494,0.0,0.1087830201084208,0.0,0.0,0.0324887891892307,0.1352826389027792,0.0,0.0,0.0,0.0,0.0,0.0138384586382505,0.0736424345823315,0.0,0.0166794718721595,0.0199483767147993,0.2050183005581453,0.0,0.0860107671650272,0.0,0.0492135578013488,0.0,0.0147680486853134,0.0181663839607184,0.0,0.0,0.2987213631180024,0.1224371045571197,0.0,0.0,0.0287800959573147,0.0,0.0,0.0163507523860255,0.0456372505405075,0.0,0.1400767921834917,0.0,0.0153980416479983,0.072437410587746,0.0,0.0445678088555027,0.0,0.2547763699078558,0.0155885199310046,0.0,0.0956059899589865,0.0309853165874469,0.0478029949794932,0.0,0.0122737390970552,0.0,0.0159851010591594,0.0166236449375216,0.0217293120076227,0.0530745541540232,0.0,0.0526039605093984,0.0476517408259231,0.0,0.0,0.0129467137733235,0.0,0.0366383196718652,0.0389410936378454,0.0,0.0,0.0179630578529041,0.0,0.0,0.0,0.0161395671843306,0.0153046380696399,0.0495888922347586,0.0615921665919934,0.0144723695248376,0.0313713195221464,0.0,0.0229268363101796,0.0799255052957973,0.017765252598626,0.1444154465060592,0.0,0.0143900479786573,0.033358943744319,0.0339304192894202,0.0345252267188366,0.0563708844180101,0.0,0.0,0.0,0.0291112638181076,0.0,0.0,0.0487299221712107,0.0659280003522402,0.0268651714679323,0.0,0.0,0.0,0.0318686633196621,0.036547441628408,0.0,0.029744482263842,0.0163507523860255,0.0148112854847434,0.0,0.052466175301021,0.0,0.0,0.0295360973706269,0.0185184031243735,0.0260283429424193,0.0,0.0353991784186595,0.0,0.0812116535661984,0.0275259236077535,0.0176363044656407,0.0995737877060008,0.0217293120076227,0.0,0.0,0.0464066591806848,0.0302426968390555,0.0,0.0243649610856053,0.0,0.0,0.0,0.0637373266393243,0.0490522571580765,0.0154926582937234,0.0479553031774783,0.0188128019393399,0.0415153759147515,0.0,0.0186641155679988,0.0404676008094979,0.0315682246624728,0.0,0.2137785579904317,0.2276503039597543,0.0,0.0,0.0622987944373662,0.0,0.0,0.0317678272172821,0.0121523132975422,0.0,0.220891518852223,0.0145976226842079,0.0,0.0263019802546992,0.0851186353114689,0.0828412127320913,0.0732666590252693,0.0167924257521331,0.036547441628408,0.0,0.0164045192671162,0.0,0.0170237270622937,0.2543621692528946,0.0133257078369466,0.0178305927614528,0.0530212686039667,0.0608496673873433,0.0153511901725722,0.0655827191262762,0.0,0.0,0.1045637095094967
Al Jazeera English,Al Jazeera,Lean Left,-2.3,2024-12-20T13:33:49Z,student_loan_forgiveness,0.0,0.0654007499596169,0.0,0.0,0.0698576115055916,0.1048554533728683,0.0,0.0,0.1242292294579825,0.0,0.0,0.0,0.0,0.3891616562210189,0.0713389268993729,0.0674595052098083,0.0,0.076465761260808,0.0,0.0,0.0,0.0,0.0,0.0728878170481379,0.0,0.0,0.0,0.0,0.0,0.0650394799425502,0.0757193782196444,0.0700653128339666,0.0,0.0,0.0,0.0,0.0,0.0,0.3432666772945381,0.0,0.0,0.0,0.119455500107224,0.0,0.0,0.0,0.076465761260808,0.0,0.0,0.0,0.0,0.0,0.1547131688648765,0.0,0.0,0.0,0.067075782919972,0.0,0.0,0.0,0.0,0.0992580058329274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2794304460223665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041232399853584,0.0,0.0,0.0,0.0,0.0,0.1206960482514643,0.0,0.0569269349786621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0577867039726662,0.0,0.0674595052098083,0.0,0.0749890476776343,0.0,0.0,0.0,0.2480056614619955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1559410157569357,0.0,0.1135714657140506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0690392812736873,0.0,0.1222792929652493,0.0,0.0,0.0,0.0,0.0,0.0,0.1100032286515882,0.0,0.1081567970399208,0.0,0.0822074347217167,0.2062842251531687,0.0,0.0,0.0,0.0,0.0,0.0,0.1703571985710759,0.0,0.0759663542997172,0.0,0.1485481873270847,0.0,0.0,0.0,0.0876913976152935,0.0,0.0,0.1739966629839084,0.1414725655127676,0.0735738820249053,0.0,0.0,0.0,0.0,0.0,0.1742345995532928,0.0,0.0,0.0740390819205733,0.0566451154249371,0.1614994809914121,0.213027564644624,0.0,0.0,0.0,0.0,0.0,0.0487878698562009,0.1565477899893591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0709090596236976,0.1431118368897527,0.0,0.085984552885561,0.0,0.0886179707577749
Al Jazeera English,Somdeep Sen,Lean Left,-2.3,2024-12-23T11:08:46Z,student_loan_forgiveness,0.0865546926196461,0.0,0.0,0.0,0.0,0.0936611011633825,0.0248860896885677,0.0268796507138973,0.2219330717370941,0.0,0.0,0.0496255512712358,0.0,0.0463486422877301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0483443041595454,0.0,0.1822977094874932,0.0227970854069124,0.0319739216739652,0.0,0.0,0.0,0.0,0.0270542355798677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0204413052787842,0.0,0.0277788352621499,0.0,0.0426809796540736,0.0,0.0,0.0,0.0,0.0,0.0245954545034176,0.0,0.0,0.0,0.350096570202923,0.0509782351553932,0.0,0.0,0.0239659130263459,0.0,0.0330777221816889,0.0544627384397875,0.0,0.1063934835228965,0.0,0.0482780450505629,0.0,0.0689376707558852,0.0,0.0185563702148518,0.0,0.0499196988447755,0.0,0.0267075423126458,0.053075682201873,0.0516045119189263,0.0,0.0,0.0,0.0,0.0,0.027685858264294,0.0,0.1620539145895992,0.0,0.0219023234717387,0.0,0.3615452323353823,0.0,0.0431242226195017,0.0,0.0,0.0432363100136779,0.0,0.0,0.0,0.0614438841071214,0.3096221602088227,0.0,0.0,0.0,0.0,0.0,0.0482060309780509,0.0,0.0,0.0,0.106489580095732,0.0,0.0506351119703427,0.0,0.0,0.0,0.0565094347735152,0.0,0.037553167722135,0.0248127756356179,0.0,0.0,0.0242416848709101,0.0,0.0,0.0405786373425561,0.0439199292395996,0.0,0.0284504222560547,0.0,0.0,0.0,0.0608679560138342,0.0,0.016512654579197,0.0,0.0,0.0,0.0218449548596745,0.0,0.0,0.0,0.0,0.0216744587684178,0.0220178809056481,0.0196518601476974,0.0,0.0579659963304377,0.0458430640489644,0.0293723926116566,0.0737045410953522,0.0,0.0,0.0,0.0772879951072503,0.0251838577328557,0.0,0.0608679560138342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0230472682672695,0.0,0.0,0.0505475903984339,0.0,0.0,0.0,0.0473925399103301,0.0764320694208595,0.0,0.0,0.0251838577328557,0.0,0.0,0.161912612933471,0.0288515642065487,0.0761139097336901,0.0,0.0268796507138973,0.0657069704152163,0.0,0.0,0.0522951411738013,0.0,0.4057863734255615,0.0,0.4371346448076607,0.0,0.0,0.0,0.0221933071737094,0.0,0.0441521499370202,0.0,0.0511332956043541,0.0218449548596745,0.0,0.0,0.0158314259431456
The New Republic,Robert Mccoy,Left,-4.0,2024-12-20T15:20:06Z,student_loan_forgiveness,0.0694049065062714,0.0562123532350994,0.0,0.0,0.0600430535817615,0.2703717520331951,0.0,0.0,0.0,0.0666007011135661,0.0,0.0,0.0,0.3902346876499102,0.1226325068368981,0.0579818662364004,0.0,0.0657227995862038,0.0,0.0,0.0646612998644916,0.0,0.0,0.0,0.0548403396763878,0.0,0.0,0.0622609321644965,0.0,0.0,0.0650812786986836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1475199269873365,0.0,0.0,0.0,0.0513363743691699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0886512902244908,0.061316253418449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0853128762091762,0.0,0.0,0.0,0.0414588664874392,0.0,0.0,0.0,0.3602583214905692,0.0,0.0,0.0,0.0,0.0,0.0,0.0491733089957788,0.0,0.0,0.0666007011135661,0.0,0.0708790106147616,0.0,0.0,0.0,0.0,0.0,0.051869503809828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0579818662364004,0.0628427725353037,0.064453555034487,0.0,0.0,0.0,0.1827106419816857,0.0,0.0576520545306665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0976153844120781,0.0,0.0538160933424994,0.0,0.0,0.0,0.0,0.0,0.0,0.0397226035661315,0.0655073888269634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0529658965726326,0.0945484623614049,0.0,0.0929614428540814,0.0,0.1413156076033349,0.0886512902244908,0.0,0.0,0.0,0.1394421642811221,0.0,0.1723428188752421,0.2928461532362343,0.0,0.0,0.0,0.1276780951842273,0.0,0.0,0.1280848985781992,0.0,0.0,0.0,0.0,0.081064369349382,0.0632372113135587,0.0,0.0535299339386807,0.0,0.0,0.0,0.2995114539791486,0.0,0.0,0.0636370535306032,0.0,0.2082147195188143,0.213614943355835,0.0,0.0,0.0,0.0,0.0,0.0,0.0672769018282643,0.0976153844120781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0615027590076418,0.0,0.1478085209282687,0.0,0.1142515493696093
