source,author,Bias Specific,Bias Numeric,date,search,access,act,action,administration,agency,agenda,aid,amendment,america,american,assistance,attorney,benefit,biden,billion,birthright,border,borrower,branch,business,called,campaign,case,catholic,change,child,citizen,citizenship,civil,click,college,come,congress,constitution,constitutional,cost,country,court,crisis,cut,daily,data,day,debt,decision,dei,democracy,democrat,democratic,department,did,digital,district,doe,doge,dollar,don,donald,education,effort,elect,election,end,executive,failed,family,federal,final,financial,foreign,forgiveness,foundation,fox,free,freeze,fund,funding,general,getty,going,government,grant,group,ha,harris,help,higher,house,illegal,image,immigrant,immigration,individual,issue,jan,joe,judge,just,justice,know,law,left,legal,legislation,like,loan,long,look,make,mean,medium,member,memo,military,million,money,musk,nation,national,nearly,need,new,news,obama,office,official,order,organization,parent,party,past,pause,pay,people,plan,policy,political,post,power,president,presidential,press,private,program,provide,public,read,regulation,related,relief,rep,report,reporter,republican,right,rule,ruling,said,say,school,second,secretary,security,service,social,spending,state,student,support,supreme,tax,taxpayer,term,thing,think,time,told,took,treasury,trillion,trump,tuesday,united,university,use,vance,ve,vice,wa,want,washington,way,week,white,wing,work,worker,world,year,york
Americanthinker.com,Americanthinker.com,Right,4.0,2024-12-30T05:00:00Z,student_loan_forgiveness,0,2,5,5,0,3,0,0,1,8,0,0,0,15,2,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,4,0,5,2,0,0,0,0,0,0,3,0,0,0,3,0,8,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,3,2,0,1,1,0,1,0,0,0,0,4,0,1,0,0,2,2,0,2,2,1,2,0,0,0,1,0,0,0,0,0,0,3,0,1,0,3,0,0,1,2,0,0,0,0,1,1,0,1,0,1,3,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,5,1,1,1,0,1,1,0,0,1,0,1,0,1,13,0,2,0,0,0,0,0,13,0,0,0,0,1,1,1,2,2,3,0
Daily Signal,Jack Fitzhenry,Right,4.0,2024-12-30T19:56:11Z,student_loan_forgiveness,0,3,0,6,2,0,0,0,0,1,0,0,0,4,0,0,1,3,4,0,2,0,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,2,0,0,13,0,0,6,1,0,0,0,0,0,0,1,4,1,1,2,1,7,0,0,3,0,2,0,1,0,0,0,0,1,0,1,0,0,4,0,0,7,0,0,1,0,0,0,0,1,2,0,0,1,1,1,0,0,8,0,1,4,7,5,2,2,0,2,2,0,0,0,0,0,0,1,0,0,0,2,0,5,0,0,1,0,0,0,1,0,1,3,1,6,4,1,1,3,1,1,0,0,0,2,0,11,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,5,0,1,0,0,3,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,3,0
Breitbart News,Simon Kent,Right,6.0,2024-12-20T10:42:12Z,student_loan_forgiveness,0,2,1,2,0,0,0,0,0,2,0,0,0,8,4,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,3,1,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,9,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,2,0,0,0,0,2,0,0,0,4,0,2,0,0,0,1,0,2,0,1,0,2,0,1,0,0,0,0,0,3,0,0,0,5,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0
The Daily Caller,Hailey Gomez,Right,3.8,2025-01-01T00:45:21Z,student_loan_forgiveness,0,0,0,2,0,0,0,0,0,5,0,0,0,21,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,0,2,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,6,1,0,0,0,0,1,0,0,1,1,1,0,2,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1
Washington Free Beacon,Blake Mauro,Right,4.0,2024-12-20T17:50:57Z,student_loan_forgiveness,0,0,0,5,1,0,0,0,0,1,0,0,0,10,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,2,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
The Daily Caller,Reagan Reese,Right,3.8,2025-01-15T20:05:54Z,student_loan_forgiveness,0,0,3,8,0,0,3,0,0,1,0,1,0,17,1,0,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,4,1,0,1,0,5,5,3,0,0,0,3,1,0,0,0,0,0,1,1,2,1,0,2,2,0,0,0,0,1,3,0,1,1,0,0,0,0,0,0,1,2,2,1,0,0,5,2,1,0,2,1,2,0,1,0,1,2,4,0,4,0,1,0,1,0,0,1,2,1,0,0,0,0,2,0,0,7,0,0,0,0,0,0,1,0,0,5,0,1,1,0,4,0,0,0,1,0,1,0,1,0,14,1,2,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0,4,0,0,0,2,2,0,1,0,3,6,0,2,0,0,0,1,0,2,2,1,0,1,11,1,0,0,2,0,0,1,1,1,2,1,0,3,0,2,1,0,1,0
Fox News,Sarah Rumpf-Whitten,Right,3.88,2024-12-20T10:10:59Z,student_loan_forgiveness,0,0,1,8,0,0,0,0,1,1,0,0,0,11,7,0,0,4,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,1,0,2,4,0,3,0,0,1,0,0,0,0,0,0,6,0,5,0,0,0,0,0,3,0,1,0,0,5,4,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12,0,0,0,0,0,1,0,0,3,0,1,0,0,6,0,0,4,0,2,0,0,0,0,0,0,0,1,1,3,0,0,0,0,10,1,0,0,4,1,5,0,0,0,2,0,1,0,0,1,0,1,5,1,0,0,1,0,2,0,1,0,8,0,1,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,1,1,1,0
Fox News,Alec Schemmel,Right,3.88,2024-12-17T19:52:03Z,student_loan_forgiveness,0,2,1,14,1,1,1,0,1,0,0,0,0,15,2,0,0,4,1,0,0,0,0,1,1,0,0,0,0,1,3,2,2,1,0,2,0,9,0,0,0,1,2,12,0,0,0,0,1,1,0,2,0,0,0,0,0,0,5,4,1,0,1,3,0,0,5,4,2,0,10,1,3,1,0,0,0,0,2,0,1,0,0,5,0,0,2,1,1,4,0,0,0,0,0,0,1,1,0,0,1,0,2,1,0,14,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,7,4,0,1,0,1,0,0,0,0,0,1,2,7,3,0,0,0,5,0,0,0,7,4,0,0,0,0,5,2,0,0,0,0,6,3,2,0,0,4,0,0,0,0,0,0,18,0,4,0,2,4,0,0,2,2,0,0,0,2,1,0,1,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0
Fox News,Greg Wehner,Right,3.88,2024-12-30T23:07:03Z,student_loan_forgiveness,0,0,0,2,0,0,0,0,0,0,0,0,0,7,3,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,4,0,0,1,0,0,1,0,0,0,0,1,3,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,5,0,0,0,0,0,0,0,5,2,0,0,0,1,2,0,2,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,3,0,1,0,2,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0
Fox News,Fox News Staff,Right,3.88,2024-12-20T22:37:37Z,student_loan_forgiveness,0,0,0,2,1,0,0,0,1,1,0,0,0,9,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,3,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,2,0,4,0,0,0,0,0,2,0,2,0,0,1,2,0,0,3,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,3,2,0,0,2,0,3,12,0,0,1,0,1,0,3,0,0,0,1,3,0,0,2,0,2,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0
