,BIAS
791,0
834,0
685,1
367,1
838,0
26,0
808,0
338,1
462,0
880,0
658,1
340,1
883,0
678,1
804,0
828,0
615,1
343,1
807,0
882,0
347,1
670,1
640,1
364,0
94,0
849,0
829,0
651,1
377,0
645,1
638,1
635,1
691,1
823,0
397,0
596,1
148,0
683,1
307,1
599,1
310,0
684,1
686,1
668,1
621,1
671,1
121,0
788,0
444,1
264,0
873,0
653,1
689,1
692,1
600,1
410,0
641,1
594,1
99,0
674,1
613,1
661,1
817,0
824,0
679,1
864,0
839,0
126,1
813,0
859,0
803,0
607,1
881,0
845,0
618,1
110,0
805,0
404,0
885,0
816,0
871,0
809,0
878,0
660,1
311,0
795,0
855,0
846,0
430,1
825,0
875,0
265,0
852,0
690,1
49,0
826,0
810,0
234,1
796,0
870,0
811,0
305,1
665,1
879,0
856,0
869,0
830,0
614,1
610,1
602,1
617,1
637,1
792,0
672,1
819,0
815,0
633,1
639,1
461,0
680,1
850,0
857,0
405,1
802,0
262,0
97,0
103,0
818,0
801,0
866,0
630,1
835,0
604,1
93,0
821,0
833,0
800,0
799,0
624,1
122,0
664,1
31,0
642,1
673,1
620,1
667,1
622,1
647,1
820,0
597,1
676,1
301,0
648,1
258,0
606,1
682,1
605,1
837,0
666,1
806,0
842,0
662,1
832,0
631,1
656,1
320,1
628,1
644,1
260,0
308,1
814,0
619,1
609,1
294,1
111,0
150,1
128,1
636,1
650,1
459,0
797,0
96,0
655,1
98,0
789,0
663,1
822,0
681,1
595,1
793,0
119,0
629,1
463,0
675,1
612,1
851,0
657,1
339,1
840,0
654,1
456,0
616,1
86,0
677,1
836,0
884,0
848,0
398,1
598,1
659,1
632,1
643,1
409,0
844,0
843,0
