"rules","support","confidence","coverage","lift","count"
"{administration,house,student} => {white}",0.345132743362832,0.806896551724138,0.427728613569322,1.96789878442074,117
"{administration,house,loan} => {white}",0.342182890855457,0.805555555555556,0.424778761061947,1.96462829736211,116
"{administration,house,loan,student} => {white}",0.342182890855457,0.805555555555556,0.424778761061947,1.96462829736211,116
"{house,president,student,trump} => {white}",0.300884955752212,0.803149606299213,0.374631268436578,1.95876055061463,102
"{administration,house} => {white}",0.345132743362832,0.801369863013699,0.430678466076696,1.95442002562334,117
"{house,president,trump} => {white}",0.300884955752212,0.796875,0.377581120943953,1.94345773381295,102
"{house,loan,trump} => {white}",0.309734513274336,0.795454545454545,0.389380530973451,1.93999345977763,105
"{house,loan,student,trump} => {white}",0.309734513274336,0.795454545454545,0.389380530973451,1.93999345977763,105
"{house,student,trump} => {white}",0.312684365781711,0.791044776119403,0.395280235988201,1.92923869859336,106
"{house,trump} => {white}",0.312684365781711,0.785185185185185,0.398230088495575,1.91494804156675,106
"{federal,office,president,trump} => {donald}",0.303834808259587,0.798449612403101,0.380530973451327,1.86672012830794,103
"{house,loan,president} => {white}",0.315634218289086,0.764285714285714,0.412979351032448,1.86397738951696,107
"{house,loan,president,student} => {white}",0.315634218289086,0.764285714285714,0.412979351032448,1.86397738951696,107
"{house,president,student} => {white}",0.31858407079646,0.76056338028169,0.418879056047198,1.85489917924815,108
"{office,president,trump} => {donald}",0.327433628318584,0.792857142857143,0.412979351032448,1.85364532019704,111
